Device ID,Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
38:e1:f4:48:92:a7,2026-07-30 14:29:51,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1032,Evolve M2
18:0c:7a:8a:89:11,2026-07-30 14:29:48,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1022,Evolve M2
8c:9a:8f:d9:ec:a3,2026-07-30 14:29:47,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1055,Evolve M2
38:e1:f4:48:db:4e,2026-07-30 14:29:42,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2017,Evolve M2
38:e1:f4:48:db:75,2026-07-30 14:29:41,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1019,Evolve M2
8c:9a:8f:d9:ec:8c,2026-07-30 14:29:39,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2032,Evolve M2
18:0c:7a:8a:86:17,2026-07-30 14:29:30,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1035,Evolve M2
18:0c:7a:8a:85:ff,2026-07-30 14:29:29,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1081,Evolve M2
38:e1:f4:48:87:0c,2026-07-30 14:29:26,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2073,Evolve M2
38:e1:f4:48:90:43,2026-07-30 14:29:24,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2070,Evolve M2
38:e1:f4:48:ca:67,2026-07-30 14:29:20,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1007,Evolve M2
38:e1:f4:48:90:c0,2026-07-30 14:29:18,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2069,Evolve M2
18:0c:7a:8a:89:83,2026-07-30 14:29:16,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1025,Evolve M2
8c:9a:8f:d9:f3:7d,2026-07-30 14:29:15,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2050,Evolve M2
8c:9a:8f:d9:ea:fa,2026-07-30 14:29:12,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2036,Evolve M2
38:e1:f4:48:8e:01,2026-07-30 14:29:11,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2080,Evolve M2
8c:9a:8f:d9:f3:f1,2026-07-30 14:29:04,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2044,Evolve M2
38:e1:f4:48:85:6d,2026-07-30 14:29:03,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1066,Evolve M2
38:e1:f4:48:8b:5e,2026-07-30 14:27:59,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2073,Evolve M2
38:e1:f4:48:79:e5,2026-07-30 14:27:55,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2060,Evolve M2
38:e1:f4:48:db:45,2026-07-30 14:27:47,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1014,Evolve M2
18:0c:7a:8a:8a:0d,2026-07-30 14:27:42,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1023,Evolve M2
38:e1:f4:48:5d:0f,2026-07-30 14:27:36,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2025,Evolve M2
18:0c:7a:8a:85:f9,2026-07-30 14:27:34,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1082 B1,Evolve M2
38:e1:f4:48:84:c2,2026-07-30 14:27:32,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2010 B1,Evolve M2
38:e1:f4:48:db:20,2026-07-30 14:27:31,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1001,Evolve M2
38:e1:f4:48:80:88,2026-07-30 14:27:31,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2009,Evolve M2
38:e1:f4:48:93:ca,2026-07-30 14:27:29,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1028,Evolve M2
38:e1:f4:48:db:99,2026-07-30 14:27:27,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1072,Evolve M2
38:e1:f4:48:da:db,2026-07-30 14:27:27,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2021,Evolve M2
8c:9a:8f:d9:f5:5d,2026-07-30 14:27:25,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1,Evolve M2
18:0c:7a:8a:88:f9,2026-07-30 14:27:24,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1026 B2,Evolve M2
18:0c:7a:8a:86:f2,2026-07-30 14:27:22,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1040,Evolve M2
38:e1:f4:49:61:a4,2026-07-30 14:27:21,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1013,Evolve M2
38:e1:f4:48:81:6f,2026-07-30 14:27:20,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2012,Evolve M2
38:e1:f4:48:85:fc,2026-07-30 14:27:20,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2005,Evolve M2
38:e1:f4:48:8c:38,2026-07-30 14:27:11,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2073,Evolve M2
38:e1:f4:48:da:ea,2026-07-30 14:27:08,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2021,Evolve M2
38:e1:f4:48:82:04,2026-07-30 14:27:08,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1082,Evolve M2
18:0c:7a:8a:86:0e,2026-07-30 14:27:07,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1078,Evolve M2
38:e1:f4:48:db:9f,2026-07-30 14:27:04,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1015,Evolve M2
38:e1:f4:48:db:7e,2026-07-30 14:27:03,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1018,Evolve M2
38:e1:f4:48:db:6c,2026-07-30 14:27:02,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2036,Evolve M2
