Device ID,Average Net Disruption Count,Timestamp (EST - America/Atikokan (UTC-05:00)),Site ID,Site Name,Room Number,Device Type
38:e1:f4:48:d9:dc,3,2025-11-03 08:29:34,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1085,Evolve M2
38:e1:f4:48:db:11,5,2025-11-03 08:27:54,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1085 B1,Evolve M2
38:e1:f4:48:db:42,6,2025-11-03 08:26:05,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2019 B2,Evolve M2
38:e1:f4:48:db:72,7,2025-11-03 08:26:05,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1019 B2,Evolve M2
18:0c:7a:8a:89:62,5,2025-11-03 08:20:30,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1020,Evolve M2
18:0c:7a:8a:86:32,7,2025-11-03 08:19:56,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1078,Evolve M2
18:0c:7a:8a:89:98,6,2025-11-03 08:19:33,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1020 B2,Evolve M2
8c:9a:8f:d9:ec:d0,7,2025-11-03 08:19:33,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1078 B2,Evolve M2
38:e1:f4:48:db:33,4,2025-11-03 08:19:32,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2020,Evolve M2
38:e1:f4:48:db:08,5,2025-11-03 08:19:30,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1087 B2,Evolve M2
18:0c:7a:8a:86:0e,7,2025-11-03 08:19:18,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1078 B1,Evolve M2
18:0c:7a:8a:89:8c,4,2025-11-03 08:19:17,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1020 B1,Evolve M2
38:e1:f4:48:db:75,8,2025-11-03 08:19:03,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1019 B1,Evolve M2
38:e1:f4:48:da:e7,5,2025-11-03 08:18:52,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1087,Evolve M2
38:e1:f4:48:db:3f,5,2025-11-03 08:18:31,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2019,Evolve M2
38:e1:f4:48:db:1a,5,2025-11-03 08:18:22,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1085 B2,Evolve M2
38:e1:f4:48:db:7e,6,2025-11-03 08:17:38,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1018 B2,Evolve M2
38:e1:f4:48:db:63,8,2025-11-03 08:15:24,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2018 B1,Evolve M2
