Device ID,Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
18:0c:7a:8a:9d:ed,2025-09-24 11:59:50,BtoZvCXKO49uo3EUCwT2MowOO8GeXdTv,MVM696 - LaQuinta Inn a Suites Visalia/Sequoia,200@lr,Evolve M2
18:0c:7a:89:32:fa,2025-09-24 11:59:46,BtoZvCXKO49uo3EUCwT2MowOO8GeXdTv,MVM696 - LaQuinta Inn a Suites Visalia/Sequoia,103,Evolve M2
18:0c:7a:8a:89:05,2025-09-24 11:59:40,BtoZvCXKO49uo3EUCwT2MowOO8GeXdTv,MVM696 - LaQuinta Inn a Suites Visalia/Sequoia,320,Evolve M2
18:0c:7a:8a:ae:be,2025-09-24 11:59:22,BtoZvCXKO49uo3EUCwT2MowOO8GeXdTv,MVM696 - LaQuinta Inn a Suites Visalia/Sequoia,205,Evolve M2
18:0c:7a:8a:9f:25,2025-09-24 11:59:03,BtoZvCXKO49uo3EUCwT2MowOO8GeXdTv,MVM696 - LaQuinta Inn a Suites Visalia/Sequoia,200@br,Evolve M2
18:0c:7a:8a:b1:28,2025-09-24 11:57:53,BtoZvCXKO49uo3EUCwT2MowOO8GeXdTv,MVM696 - LaQuinta Inn a Suites Visalia/Sequoia,223,Evolve M2
18:0c:7a:8a:b1:34,2025-09-24 11:57:30,BtoZvCXKO49uo3EUCwT2MowOO8GeXdTv,MVM696 - LaQuinta Inn a Suites Visalia/Sequoia,301@br,Evolve M2
18:0c:7a:8a:ac:5d,2025-09-24 11:57:27,BtoZvCXKO49uo3EUCwT2MowOO8GeXdTv,MVM696 - LaQuinta Inn a Suites Visalia/Sequoia,EVOLVE,Evolve M2
18:0c:7a:8a:95:11,2025-09-24 11:57:21,BtoZvCXKO49uo3EUCwT2MowOO8GeXdTv,MVM696 - LaQuinta Inn a Suites Visalia/Sequoia,109,Evolve M2
18:0c:7a:89:32:e8,2025-09-24 11:57:17,BtoZvCXKO49uo3EUCwT2MowOO8GeXdTv,MVM696 - LaQuinta Inn a Suites Visalia/Sequoia,105,Evolve M2
18:0c:7a:8a:ad:89,2025-09-24 11:57:01,BtoZvCXKO49uo3EUCwT2MowOO8GeXdTv,MVM696 - LaQuinta Inn a Suites Visalia/Sequoia,214@br,Evolve M2
18:0c:7a:8a:b1:52,2025-09-24 11:56:54,BtoZvCXKO49uo3EUCwT2MowOO8GeXdTv,MVM696 - LaQuinta Inn a Suites Visalia/Sequoia,222,Evolve M2
18:0c:7a:8a:9e:e6,2025-09-24 11:56:51,BtoZvCXKO49uo3EUCwT2MowOO8GeXdTv,MVM696 - LaQuinta Inn a Suites Visalia/Sequoia,327@br,Evolve M2
