Application Name,Package Name,Cumulative Usage(Hrs),STB Count
Watch TV,com.dish.watchtv,15658.18,85
YouTube,com.google.android.youtube.tv,1204.10,43
Netflix,com.netflix.ninja,318.67,38
Google,com.google.android.katniss,66.77,38
Room Attendant v1.0.5,com.lge.android.roomattendant,11.85,82
Settings,com.android.tv.settings,5.20,7
Account Service,com.dish.accountservice,2.27,85
TvInput,com.lge.android.tvinput,1.54,44
NoTouchAuthDelegate,com.google.android.gsf.notouch,0.34,9
Google Play Store,com.android.vending,0.09,3
Live TV,com.android.app.tv,0.01,2
Google Play services,com.google.android.gms,0.01,9
Google Text-to-speech Engine,com.google.android.tts,0.00,3
iCX,com.tataelxsi.icx,0.00,2
