Application Name,Package Name,Cumulative Usage(Hrs),STB Count
Watch TV,com.dish.watchtv,1228.42,83
YouTube,com.google.android.youtube.tv,96.94,13
Netflix,com.netflix.ninja,28.64,8
Google,com.google.android.katniss,7.88,7
Room Attendant v1.0.5,com.lge.android.roomattendant,0.19,15
Account Service,com.dish.accountservice,0.17,79
TvInput,com.lge.android.tvinput,0.04,3
