Device ID,Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
8c:9a:8f:d9:f4:1c,2026-08-03 14:59:59,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2042,Evolve M2
8c:9a:8f:d9:f0:fa,2026-08-03 14:59:55,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2045,Evolve M2
38:e1:f4:48:8d:af,2026-08-03 14:59:55,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1005,Evolve M2
38:e1:f4:48:92:35,2026-08-03 14:59:47,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1030@L,Evolve M2
38:e1:f4:48:85:9b,2026-08-03 14:59:46,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1064@L,Evolve M2
38:e1:f4:48:db:48,2026-08-03 14:59:43,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2022,Evolve M2
38:e1:f4:48:db:d2,2026-08-03 14:59:40,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1075,Evolve M2
38:e1:f4:48:da:fc,2026-08-03 14:59:34,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2016 B2,Evolve M2
38:e1:f4:48:92:59,2026-08-03 14:59:30,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1030@B1,Evolve M2
8c:9a:8f:d9:eb:d8,2026-08-03 14:59:29,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1077,Evolve M2
38:e1:f4:48:7c:95,2026-08-03 14:59:27,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2011,Evolve M2
8c:9a:8f:d9:f5:d1,2026-08-03 14:59:26,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,16,Evolve M2
