Device ID,Timestamp (EST - America/Atikokan (UTC-05:00)),Site ID,Site Name,Room Number,Device Type
8c:9a:8f:d9:ec:d0,2025-12-01 20:29:08,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1078 B2,Evolve M2
38:e1:f4:48:8c:5f,2025-12-01 20:29:06,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2074 B1,Evolve M2
38:e1:f4:48:8c:a7,2025-12-01 20:29:02,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2081 B1,Evolve M2
18:0c:7a:8a:86:ec,2025-12-01 20:29:01,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1041,Evolve M2
38:e1:f4:48:83:d4,2025-12-01 20:28:00,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2026 B2,Evolve M2
38:e1:f4:48:90:43,2025-12-01 20:27:59,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2070,Evolve M2
38:e1:f4:48:79:e2,2025-12-01 20:27:58,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2059 B1,Evolve M2
18:0c:7a:8a:86:0b,2025-12-01 20:27:56,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2013,Evolve M2
8c:9a:8f:d9:f3:d8,2025-12-01 20:27:56,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2046,Evolve M2
38:e1:f4:48:8d:7b,2025-12-01 20:27:56,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1007 B2,Evolve M2
38:e1:f4:48:db:99,2025-12-01 20:27:55,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1072 B1,Evolve M2
18:0c:7a:8a:89:5f,2025-12-01 20:27:55,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1022 B1,Evolve M2
38:e1:f4:48:84:df,2025-12-01 20:27:54,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1063 B1,Evolve M2
38:e1:f4:48:db:3f,2025-12-01 20:27:54,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2019,Evolve M2
38:e1:f4:48:85:df,2025-12-01 20:27:53,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1067 B1,Evolve M2
8c:9a:8f:d9:ef:dd,2025-12-01 20:27:52,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2045,Evolve M2
18:0c:7a:8a:86:f2,2025-12-01 20:27:51,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1040,Evolve M2
38:e1:f4:48:91:5c,2025-12-01 20:27:50,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2068 B1,Evolve M2
18:0c:7a:8a:86:38,2025-12-01 20:27:50,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2020 B1,Evolve M2
38:e1:f4:48:8b:f4,2025-12-01 20:27:49,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2076 B1,Evolve M2
18:0c:7a:8a:89:77,2025-12-01 20:27:48,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1009 B2,Evolve M2
18:0c:7a:8a:87:40,2025-12-01 20:27:44,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1036,Evolve M2
8c:9a:8f:d9:f0:fa,2025-12-01 20:27:42,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2045 B1,Evolve M2
8c:9a:8f:d9:f3:c6,2025-12-01 20:27:41,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2047 B1,Evolve M2
38:e1:f4:48:91:a6,2025-12-01 20:27:39,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1032 B2,Evolve M2
8c:9a:8f:d9:f3:f1,2025-12-01 20:27:38,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2044,Evolve M2
38:e1:f4:48:79:e5,2025-12-01 20:27:35,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2060 B1,Evolve M2
8c:9a:8f:d9:ec:29,2025-12-01 20:27:35,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1051,Evolve M2
18:0c:7a:8a:89:50,2025-12-01 20:27:33,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1021 B1,Evolve M2
38:e1:f4:48:91:3f,2025-12-01 20:27:32,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2070 B1,Evolve M2
38:e1:f4:49:84:96,2025-12-01 20:27:32,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2055 B2,Evolve M2
38:e1:f4:48:db:a2,2025-12-01 20:27:31,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1067,Evolve M2
38:e1:f4:48:92:aa,2025-12-01 20:27:30,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1034 B1,Evolve M2
18:0c:7a:8a:89:ef,2025-12-01 20:27:29,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1059 B2,Evolve M2
38:e1:f4:48:83:fa,2025-12-01 20:27:23,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1084 B1,Evolve M2
38:e1:f4:48:86:96,2025-12-01 20:27:22,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2002,Evolve M2
8c:9a:8f:d9:f1:42,2025-12-01 20:27:21,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2039 B1,Evolve M2
38:e1:f4:48:db:54,2025-12-01 20:27:20,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1017 B2,Evolve M2
38:e1:f4:48:85:26,2025-12-01 20:27:16,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1063,Evolve M2
8c:9a:8f:d9:e5:de,2025-12-01 20:27:14,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1056 B1,Evolve M2
38:e1:f4:48:db:17,2025-12-01 20:27:13,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1084,Evolve M2
38:e1:f4:48:82:c2,2025-12-01 20:27:13,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2030,Evolve M2
38:e1:f4:48:92:a7,2025-12-01 20:27:12,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1032,Evolve M2
18:0c:7a:8a:89:a1,2025-12-01 20:27:12,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1021,Evolve M2
38:e1:f4:48:dd:8c,2025-12-01 20:27:10,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1008 B1,Evolve M2
38:e1:f4:48:db:7b,2025-12-01 20:27:09,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1017 B1,Evolve M2
