Device ID,Timestamp (EST - America/Atikokan (UTC-05:00)),Site ID,Site Name,Room Number,Device Type
8c:9a:8f:d9:f1:42,2026-01-02 15:29:58,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2039 B1,Evolve M2
38:e1:f4:48:82:ab,2026-01-02 15:29:56,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2011,Evolve M2
38:e1:f4:48:8b:b9,2026-01-02 15:29:53,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2074,Evolve M2
18:0c:7a:8a:78:eb,2026-01-02 15:29:53,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1010,Evolve M2
8c:9a:8f:d9:f0:fa,2026-01-02 15:29:49,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2045 B1,Evolve M2
38:e1:f4:48:8c:db,2026-01-02 15:29:49,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2065 B1,Evolve M2
38:e1:f4:48:db:b7,2026-01-02 15:29:48,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1068,Evolve M2
38:e1:f4:48:db:90,2026-01-02 15:29:48,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1016 B2,Evolve M2
38:e1:f4:48:84:e2,2026-01-02 15:29:47,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1061 B1,Evolve M2
38:e1:f4:49:84:a2,2026-01-02 15:29:47,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2056,Evolve M2
38:e1:f4:48:8d:ac,2026-01-02 15:29:46,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1002 B2,Evolve M2
