Device ID,Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
D4:3A:2E:32:8D:04,2025-09-24 12:14:52,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,101,Evolve S1
D4:3A:2E:32:8C:F2,2025-09-24 12:14:52,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,111,Evolve S1
D4:3A:2E:32:8C:FB,2025-09-24 12:14:22,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,104,Evolve S1
D4:3A:2E:32:8C:B9,2025-09-24 12:14:20,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,310,Evolve S1
8C:6D:50:45:EA:EF,2025-09-24 12:14:14,7FoUdLrpK8MdYHW2KVpJe3LiL9trTutI,MVM056-The Elevate Hotel Ruidoso NM,118,Evolve S1
38:e1:f4:49:1d:23,2025-09-24 12:14:01,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,222,Evolve M2
D4:3A:2E:32:8D:07,2025-09-24 12:12:41,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,105,Evolve S1
D4:3A:2E:32:98:24,2025-09-24 12:12:29,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,212,Evolve S1
38:e1:f4:49:2b:16,2025-09-24 12:12:21,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,228,Evolve M2
D4:3A:2E:32:8C:F9,2025-09-24 12:12:06,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,109,Evolve S1
8C:6D:50:45:F1:52,2025-09-24 12:12:02,7FoUdLrpK8MdYHW2KVpJe3LiL9trTutI,MVM056-The Elevate Hotel Ruidoso NM,111,Evolve S1
D4:3A:2E:32:8C:82,2025-09-24 12:12:00,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,306,Evolve S1
D4:3A:2E:32:8C:8F,2025-09-24 12:11:50,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,305,Evolve S1
D4:3A:2E:32:8C:AB,2025-09-24 12:11:44,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,308,Evolve S1
8C:6D:50:45:F1:07,2025-09-24 12:11:38,7FoUdLrpK8MdYHW2KVpJe3LiL9trTutI,MVM056-The Elevate Hotel Ruidoso NM,232,Evolve S1
D4:3A:2E:32:8C:A0,2025-09-24 12:11:35,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,1,Evolve S1
D4:3A:2E:32:8C:88,2025-09-24 12:11:25,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,201,Evolve S1
18:0c:7a:8a:b3:8c,2025-09-24 12:11:12,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,225,Evolve M2
D4:3A:2E:32:8C:96,2025-09-24 12:11:10,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,116,Evolve S1
D4:3A:2E:32:98:97,2025-09-24 12:11:09,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,206,Evolve S1
8C:6D:50:45:F1:09,2025-09-24 12:11:08,7FoUdLrpK8MdYHW2KVpJe3LiL9trTutI,MVM056-The Elevate Hotel Ruidoso NM,219,Evolve S1
D4:3A:2E:32:98:1A,2025-09-24 12:10:54,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,209,Evolve S1
8C:6D:50:45:EB:22,2025-09-24 12:10:53,7FoUdLrpK8MdYHW2KVpJe3LiL9trTutI,MVM056-The Elevate Hotel Ruidoso NM,210,Evolve S1
8C:6D:50:45:F1:25,2025-09-24 12:10:52,7FoUdLrpK8MdYHW2KVpJe3LiL9trTutI,MVM056-The Elevate Hotel Ruidoso NM,236@L,Evolve S1
D4:3A:2E:32:8C:9E,2025-09-24 12:10:48,noLF3OmkquNbd1hEjjafdMk951AgjxaG,MVM643 - Super 8 by Wyndham Hillsvile VA,313,Evolve S1
8C:6D:50:45:F2:3E,2025-09-24 12:10:43,7FoUdLrpK8MdYHW2KVpJe3LiL9trTutI,MVM056-The Elevate Hotel Ruidoso NM,117,Evolve S1
