Device ID,Average Net Disruption Count,Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
D4:3A:2E:36:06:9B,5,2025-10-03 11:14:01,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,428,Evolve S1
18:0c:7a:8a:b2:1e,2,2025-10-03 11:12:39,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,122,Evolve M2
18:0c:7a:89:13:e3,3,2025-10-03 11:12:19,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,214,Evolve M2
18:0c:7a:8a:a9:de,4,2025-10-03 11:11:48,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,316@br,Evolve M2
18:0c:7a:8a:ab:04,2,2025-10-03 11:11:44,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,225,Evolve M2
D4:3A:2E:36:0D:D2,2,2025-10-03 11:11:12,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,301,Evolve S1
18:0c:7a:8a:ab:19,2,2025-10-03 11:10:54,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,304@br,Evolve M2
18:0c:7a:8a:aa:ef,3,2025-10-03 11:10:47,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,128,Evolve M2
18:0c:7a:8a:aa:98,2,2025-10-03 11:09:55,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,127,Evolve M2
18:0c:7a:89:2d:d2,2,2025-10-03 11:09:20,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,420,Evolve M2
18:0c:7a:89:2a:ab,2,2025-10-03 11:08:36,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,403@br,Evolve M2
18:0c:7a:89:3c:24,2,2025-10-03 11:07:23,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,216@br,Evolve M2
18:0c:7a:8a:ab:40,3,2025-10-03 11:07:07,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,228,Evolve M2
18:0c:7a:89:2a:99,3,2025-10-03 11:06:48,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,221,Evolve M2
D4:3A:2E:36:10:02,2,2025-10-03 11:06:15,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,316,Evolve S1
18:0c:7a:8a:a9:5a,6,2025-10-03 11:06:07,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,308,Evolve M2
18:0c:7a:8a:b2:27,4,2025-10-03 11:06:07,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,126,Evolve M2
18:0c:7a:8a:b2:2d,4,2025-10-03 11:06:06,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,121,Evolve M2
18:0c:7a:89:3d:0b,5,2025-10-03 11:05:18,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,326,Evolve M2
18:0c:7a:8a:ab:82,2,2025-10-03 11:04:59,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,222,Evolve M2
18:0c:7a:89:3d:56,2,2025-10-03 11:04:58,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,218@lr,Evolve M2
18:0c:7a:89:2d:93,2,2025-10-03 11:04:46,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,423@br,Evolve M2
18:0c:7a:8a:ab:5b,2,2025-10-03 11:04:42,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,228@br,Evolve M2
18:0c:7a:8a:ab:25,2,2025-10-03 11:04:01,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,224,Evolve M2
18:0c:7a:8a:b1:79,2,2025-10-03 11:03:36,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,124,Evolve M2
18:0c:7a:8a:a9:c3,4,2025-10-03 11:01:33,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,310,Evolve M2
18:0c:7a:8a:b0:71,4,2025-10-03 11:01:28,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,230,Evolve M2
18:0c:7a:8a:9c:76,3,2025-10-03 11:01:15,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,318@br,Evolve M2
