Device ID,RSSI (dBm),Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
38:e1:f4:49:2b:5f,-67.00,2025-10-03 13:44:57,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,330,Evolve M2
38:e1:f4:49:16:49,-72.00,2025-10-03 13:44:36,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,426,Evolve M2
38:e1:f4:49:28:2f,-69.00,2025-10-03 13:44:34,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,406,Evolve M2
38:e1:f4:49:12:d2,-65.00,2025-10-03 13:44:32,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,303,Evolve M2
38:e1:f4:49:26:a6,-66.00,2025-10-03 13:44:29,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,412,Evolve M2
38:e1:f4:49:30:d7,-61.00,2025-10-03 13:44:26,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,215,Evolve M2
38:e1:f4:49:17:2a,-65.00,2025-10-03 13:44:25,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,131,Evolve M2
38:e1:f4:49:30:c0,-61.00,2025-10-03 13:44:24,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,213,Evolve M2
38:e1:f4:49:16:89,-65.00,2025-10-03 13:44:23,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,425,Evolve M2
38:e1:f4:49:26:bd,-66.00,2025-10-03 13:44:22,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,402,Evolve M2
38:e1:f4:49:2c:8c,-65.00,2025-10-03 13:44:17,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,423,Evolve M2
38:e1:f4:49:19:23,-67.00,2025-10-03 13:44:16,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,232,Evolve M2
38:e1:f4:49:15:c8,-69.00,2025-10-03 13:44:15,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,428,Evolve M2
38:e1:f4:49:2b:06,-73.00,2025-10-03 13:44:12,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,200,Evolve M2
38:e1:f4:49:2e:22,-67.00,2025-10-03 13:43:00,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,413,Evolve M2
38:e1:f4:49:26:da,-78.00,2025-10-03 13:42:58,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,217,Evolve M2
38:e1:f4:49:2c:3b,-68.00,2025-10-03 13:42:56,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,210,Evolve M2
38:e1:f4:49:30:dd,-67.00,2025-10-03 13:42:55,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,203,Evolve M2
38:e1:f4:49:2a:93,-65.00,2025-10-03 13:42:46,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,318,Evolve M2
38:e1:f4:49:19:e6,-66.00,2025-10-03 13:42:40,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,229,Evolve M2
38:e1:f4:49:30:8d,-62.00,2025-10-03 13:42:34,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,219,Evolve M2
38:e1:f4:49:1a:90,-72.00,2025-10-03 13:42:18,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,130,Evolve M2
38:e1:f4:49:27:e5,-69.00,2025-10-03 13:41:51,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,317,Evolve M2
38:e1:f4:49:1b:8f,-67.00,2025-10-03 13:41:37,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,222,Evolve M2
D4:3A:2E:38:BC:D1,-73.00,2025-10-03 13:41:34,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,331,Evolve S1
38:e1:f4:49:17:a7,-70.00,2025-10-03 13:41:24,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,302,Evolve M2
38:e1:f4:49:2a:49,-64.00,2025-10-03 13:41:13,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,309,Evolve M2
38:e1:f4:49:14:9b,-68.00,2025-10-03 13:40:50,ozkOVHMhvDINFW4F03RciMeVKg7AoCKz,MVM098 - Comfort Inn Minot ND,228,Evolve M2
