Device ID,RSSI (dBm),Timestamp (EST - America/Atikokan (UTC-05:00)),Site ID,Site Name,Room Number,Device Type
58:68:7a:50:ca:d0,-67.00,2026-01-16 15:57:11,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,Android TV,Evolve M1
58:68:7a:4e:02:8a,-75.00,2026-01-16 15:56:39,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,146,Evolve M1
58:68:7a:4d:fe:2e,-69.00,2026-01-16 15:55:23,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,251,Evolve M1
58:68:7a:50:d0:f0,-67.00,2026-01-16 15:54:49,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,EVOLVE,Evolve M1
58:68:7a:50:d1:c1,-77.00,2026-01-16 15:51:31,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,221,Evolve M1
58:68:7a:50:ca:eb,-70.00,2026-01-16 15:48:43,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,118,Evolve M1
58:68:7a:50:ca:c1,-70.00,2026-01-16 15:48:42,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,115,Evolve M1
58:68:7a:50:cc:35,-78.00,2026-01-16 15:46:18,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,weird,Evolve M1
