Device ID,RSSI (dBm),Timestamp (EST - America/Atikokan (UTC-05:00)),Site ID,Site Name,Room Number,Device Type
58:68:7a:50:d1:0f,-50.00,2026-01-16 15:53:17,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,EVOLVE 2,Evolve M1
58:68:7a:50:ca:a0,-63.00,2026-01-16 15:53:15,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,216,Evolve M1
58:68:7a:50:d1:1d,-54.00,2026-01-16 15:53:06,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,EVOLVE,Evolve M1
58:68:7a:50:d1:c4,-52.00,2026-01-16 15:52:06,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,177,Evolve M1
58:68:7a:50:cc:6c,-40.00,2026-01-16 15:51:53,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,EVOLVE 2,Evolve M1
58:68:7a:50:cc:5e,-60.00,2026-01-16 15:51:52,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,124,Evolve M1
58:68:7a:4d:f4:20,-50.00,2026-01-16 15:51:45,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,273,Evolve M1
58:68:7a:50:ca:d3,-56.00,2026-01-16 15:51:41,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,103,Evolve M1
58:68:7a:50:cc:21,-54.00,2026-01-16 15:51:41,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,Deere Gator,Evolve M1
58:68:7a:4d:fd:b5,-49.00,2026-01-16 15:51:30,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,121,Evolve M1
58:68:7a:50:c9:84,-50.00,2026-01-16 15:51:00,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,EVOLVE 2,Evolve M1
58:68:7a:50:d2:8e,-52.00,2026-01-16 15:50:58,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,165,Evolve M1
58:68:7a:50:d2:cb,-59.00,2026-01-16 15:49:55,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,155,Evolve M1
