Device ID,Timestamp (EST - America/Atikokan (UTC-05:00)),Site ID,Site Name,Room Number,Device Type
d8:cf:61:02:e4:59,2025-11-09 18:54:23,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,432,Evolve M2
d8:cf:61:03:cf:ce,2025-11-09 18:54:21,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,431,Evolve M2
18:0c:7a:8a:c2:d1,2025-11-09 18:54:18,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,433,Evolve M2
D4:3A:2E:37:10:E7,2025-11-09 18:54:02,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,212@LR,Evolve S1
D4:3A:2E:36:A0:8C,2025-11-09 18:54:02,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,342,Evolve S1
D4:3A:2E:36:A0:66,2025-11-09 18:53:44,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,324,Evolve S1
D4:3A:2E:36:A0:58,2025-11-09 18:53:30,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,330,Evolve S1
D4:3A:2E:37:10:C3,2025-11-09 18:53:30,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,303,Evolve S1
D4:3A:2E:37:06:AC,2025-11-09 18:53:14,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,103,Evolve S1
D4:3A:2E:37:10:83,2025-11-09 18:53:12,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,210@LR,Evolve S1
D4:3A:2E:37:10:CF,2025-11-09 18:52:41,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,224@MAX,Evolve S1
D4:3A:2E:37:10:C5,2025-11-09 18:52:10,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,209,Evolve S1
d8:cf:61:0b:74:ed,2025-11-09 18:52:07,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,430,Evolve M2
D4:3A:2E:36:A0:5B,2025-11-09 18:51:11,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,326,Evolve S1
d8:cf:61:03:52:be,2025-11-09 18:51:02,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,428,Evolve M2
D4:3A:2E:36:A0:7F,2025-11-09 18:50:47,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,211,Evolve S1
D4:3A:2E:37:13:CD,2025-11-09 18:50:27,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,201,Evolve S1
D4:3A:2E:37:10:77,2025-11-09 18:50:22,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,332,Evolve S1
D4:3A:2E:36:A0:6C,2025-11-09 18:50:05,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,313,Evolve S1
D4:3A:2E:36:A0:9E,2025-11-09 18:50:00,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,437,Evolve S1
D4:3A:2E:37:10:A6,2025-11-09 18:49:46,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,204@,Evolve S1
D4:3A:2E:37:11:E1,2025-11-09 18:49:35,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,208@LR,Evolve S1
18:0c:7a:8b:49:17,2025-11-09 18:49:24,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,425,Evolve M2
D4:3A:2E:37:10:84,2025-11-09 18:49:03,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,216@BR,Evolve S1
D4:3A:2E:37:13:C3,2025-11-09 18:48:53,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,310,Evolve S1
D4:3A:2E:37:11:74,2025-11-09 18:48:31,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,441,Evolve S1
D4:3A:2E:37:11:1D,2025-11-09 18:48:30,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,426,Evolve S1
D4:3A:2E:16:AA:61,2025-11-09 18:48:20,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,1,Evolve S1
D4:3A:2E:37:10:76,2025-11-09 18:48:14,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,335,Evolve S1
D4:3A:2E:37:10:D9,2025-11-09 18:48:08,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,207,Evolve S1
D4:3A:2E:37:10:C9,2025-11-09 18:48:07,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,225,Evolve S1
D4:3A:2E:37:07:64,2025-11-09 18:48:00,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,305,Evolve S1
D4:3A:2E:37:10:BE,2025-11-09 18:47:54,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,217,Evolve S1
D4:3A:2E:37:15:20,2025-11-09 18:47:54,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,213,Evolve S1
D4:3A:2E:37:14:5B,2025-11-09 18:47:53,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,113,Evolve S1
18:0c:7a:8a:c2:f2,2025-11-09 18:47:50,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,426,Evolve M2
D4:3A:2E:37:10:F1,2025-11-09 18:47:47,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,205,Evolve S1
D4:3A:2E:36:A0:60,2025-11-09 18:47:45,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,321,Evolve S1
D4:3A:2E:37:06:CD,2025-11-09 18:47:37,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,316@BR,Evolve S1
D4:3A:2E:37:10:82,2025-11-09 18:47:17,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,337,Evolve S1
D4:3A:2E:37:10:E4,2025-11-09 18:47:15,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,215,Evolve S1
D4:3A:2E:16:AA:5F,2025-11-09 18:47:07,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,202@LR,Evolve S1
D4:3A:2E:37:10:DD,2025-11-09 18:47:03,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,226,Evolve S1
D4:3A:2E:36:A0:61,2025-11-09 18:46:57,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,321,Evolve S1
D4:3A:2E:36:A0:5F,2025-11-09 18:46:45,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,328,Evolve S1
D4:3A:2E:37:10:C2,2025-11-09 18:46:42,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,309,Evolve S1
D4:3A:2E:37:12:39,2025-11-09 18:46:37,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,336,Evolve S1
D4:3A:2E:37:13:80,2025-11-09 18:46:34,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,307,Evolve S1
D4:3A:2E:37:12:0B,2025-11-09 18:46:34,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,442,Evolve S1
D4:3A:2E:37:10:E6,2025-11-09 18:46:01,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,221,Evolve S1
D4:3A:2E:37:06:DA,2025-11-09 18:45:57,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,107,Evolve S1
D4:3A:2E:37:10:F3,2025-11-09 18:45:44,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,123,Evolve S1
D4:3A:2E:37:13:D0,2025-11-09 18:45:37,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,109,Evolve S1
D4:3A:2E:37:10:CE,2025-11-09 18:45:34,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,101,Evolve S1
D4:3A:2E:36:A0:6B,2025-11-09 18:45:33,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,319,Evolve S1
D4:3A:2E:30:A7:71,2025-11-09 18:45:22,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,3,Evolve S1
D4:3A:2E:37:10:DB,2025-11-09 18:45:18,cLJ4aSFDXqqX7n6oPuoRLoTXEml7oWoA,MVM545 - Clarion Hotel and Suites Hamden,425,Evolve S1
