Device ID,RSSI (dBm),Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
D4:3A:2E:16:AA:34,-53.00,2024-10-29 14:59:56,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,417,Evolve S1
D4:3A:2E:30:B4:E8,-52.00,2024-10-29 14:59:45,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,2,Evolve S1
D4:3A:2E:16:AA:AA,-55.00,2024-10-29 14:59:42,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,405,Evolve S1
D4:3A:2E:16:A9:C6,-58.00,2024-10-29 14:59:41,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,406,Evolve S1
D4:3A:2E:30:9B:FE,-58.00,2024-10-29 14:59:41,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,315,Evolve S1
D4:3A:2E:16:AA:D8,-56.00,2024-10-29 14:59:40,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,305,Evolve S1
D4:3A:2E:30:9C:03,-51.00,2024-10-29 14:59:38,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,419,Evolve S1
D4:3A:2E:16:AA:70,-56.00,2024-10-29 14:59:34,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,311,Evolve S1
D4:3A:2E:16:AA:67,-53.00,2024-10-29 14:59:34,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,412,Evolve S1
D4:3A:2E:16:AA:B2,-54.00,2024-10-29 14:59:19,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,410,Evolve S1
D4:3A:2E:30:9C:08,-60.00,2024-10-29 14:53:28,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,320,Evolve S1
D4:3A:2E:16:A0:B6,-52.00,2024-10-29 14:48:40,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,619,Evolve S1
D4:3A:2E:16:A9:FE,-53.00,2024-10-29 14:48:17,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,303,Evolve S1
D4:3A:2E:16:AA:89,-54.00,2024-10-29 14:46:08,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,319,Evolve S1
D4:3A:2E:16:AA:75,-60.00,2024-10-29 14:45:48,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,515,Evolve S1
D4:3A:2E:16:AB:42,-57.00,2024-10-29 14:45:25,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,214,Evolve S1
D4:3A:2E:30:A6:95,-59.00,2024-10-29 14:45:15,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,301,Evolve S1
D4:3A:2E:30:A6:7E,-53.00,2024-10-29 14:45:13,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,403,Evolve S1
D4:3A:2E:16:AA:4E,-56.00,2024-10-29 14:45:08,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,608,Evolve S1
D4:3A:2E:16:AA:D7,-60.00,2024-10-29 14:45:07,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,307,Evolve S1
D4:3A:2E:16:AA:26,-58.00,2024-10-29 14:45:06,AWWmuWRVooiBc7zFJURPn2JnHOJzNYNl,MVM613 - Comfort Inn Philadelphia International Airport West,420,Evolve S1
