Device ID,Average Net Disruption Count,Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
10:2b:aa:50:92:56,0,2026-07-14 04:59:57,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1512A,Evolve M2
10:2b:aa:50:3e:80,0,2026-07-14 04:59:55,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1708B,Evolve M2
10:2b:aa:50:34:6c,0,2026-07-14 04:59:55,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,405B,Evolve M2
10:2b:aa:50:2c:aa,0,2026-07-14 04:59:55,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1705A,Evolve M2
10:2b:aa:51:ea:4c,0,2026-07-14 04:59:53,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1205A,Evolve M2
10:2b:aa:50:90:ca,0,2026-07-14 04:59:52,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1511B,Evolve M2
10:2b:aa:50:38:80,0,2026-07-14 04:59:50,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,404B,Evolve M2
10:2b:aa:51:e8:21,0,2026-07-14 04:59:46,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1212A,Evolve M2
10:2b:aa:50:92:47,0,2026-07-14 04:59:45,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1610B,Evolve M2
10:2b:aa:50:2e:54,0,2026-07-14 04:59:41,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1112A,Evolve M2
10:2b:aa:50:2c:59,0,2026-07-14 04:59:41,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1710B,Evolve M2
10:2b:aa:50:90:19,0,2026-07-14 04:59:41,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,509A,Evolve M2
10:2b:aa:50:33:c4,0,2026-07-14 04:59:39,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,907B,Evolve M2
10:2b:aa:50:39:e2,0,2026-07-14 04:59:39,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,706B,Evolve M2
10:2b:aa:50:2c:e0,0,2026-07-14 04:59:38,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1604B,Evolve M2
10:2b:aa:50:8f:68,0,2026-07-14 04:59:36,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,211A,Evolve M2
10:2b:aa:50:38:2c,0,2026-07-14 04:59:36,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,805A,Evolve M2
10:2b:aa:50:31:4b,0,2026-07-14 04:59:35,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1206B,Evolve M2
10:2b:aa:50:31:5d,0,2026-07-14 04:59:34,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1207B,Evolve M2
10:2b:aa:50:30:a3,0,2026-07-14 04:59:34,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,701S,Evolve M2
10:2b:aa:50:8f:44,0,2026-07-14 04:59:34,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,803B,Evolve M2
10:2b:aa:50:39:55,0,2026-07-14 04:59:34,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,704B,Evolve M2
10:2b:aa:50:33:5b,0,2026-07-14 04:59:33,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,608A,Evolve M2
10:2b:aa:50:3f:01,0,2026-07-14 04:59:33,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,301S,Evolve M2
10:2b:aa:50:31:bd,0,2026-07-14 04:59:32,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1009B,Evolve M2
10:2b:aa:50:37:fc,0,2026-07-14 04:59:31,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1107A,Evolve M2
10:2b:aa:50:3a:60,0,2026-07-14 04:59:31,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,607B,Evolve M2
10:2b:aa:50:04:45,0,2026-07-14 04:59:30,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1107B,Evolve M2
10:2b:aa:50:33:1f,0,2026-07-14 04:59:29,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,809A,Evolve M2
10:2b:aa:50:30:55,0,2026-07-14 04:59:29,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,703A,Evolve M2
10:2b:aa:50:8f:6b,0,2026-07-14 04:59:27,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1402A,Evolve M2
10:2b:aa:50:33:2b,0,2026-07-14 04:59:25,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,802A,Evolve M2
