Device ID,RSSI (dBm),Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
10:2b:aa:50:92:56,-38.00,2026-07-14 04:59:57,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1512A,Evolve M2
10:2b:aa:50:90:dc,-37.00,2026-07-14 04:59:50,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1403B,Evolve M2
10:2b:aa:50:38:80,-66.00,2026-07-14 04:59:50,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,404B,Evolve M2
10:2b:aa:51:e8:21,-66.00,2026-07-14 04:59:46,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1212A,Evolve M2
10:2b:aa:50:2e:54,-38.00,2026-07-14 04:59:41,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1112A,Evolve M2
10:2b:aa:50:33:1f,-67.00,2026-07-14 04:59:29,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,809A,Evolve M2
10:2b:aa:50:30:55,-68.00,2026-07-14 04:59:29,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,703A,Evolve M2
10:2b:aa:50:32:c8,-38.00,2026-07-14 04:59:14,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1707B,Evolve M2
10:2b:aa:50:37:27,-67.00,2026-07-14 04:59:06,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1812A,Evolve M2
10:2b:aa:50:8e:3c,-66.00,2026-07-14 04:58:00,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,604B,Evolve M2
10:2b:aa:50:04:3f,-67.00,2026-07-14 04:57:59,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1105B,Evolve M2
10:2b:aa:50:2e:e4,-39.00,2026-07-14 04:57:49,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1106B,Evolve M2
10:2b:aa:50:34:ab,-38.00,2026-07-14 04:57:49,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,907A,Evolve M2
10:2b:aa:50:3f:04,-37.00,2026-07-14 04:57:48,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,310A,Evolve M2
10:2b:aa:50:2c:ef,-66.00,2026-07-14 04:57:47,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,610B,Evolve M2
10:2b:aa:50:38:98,-66.00,2026-07-14 04:57:20,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1004A,Evolve M2
10:2b:aa:50:32:c5,-66.00,2026-07-14 04:57:13,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,805B,Evolve M2
10:2b:aa:50:37:81,-66.00,2026-07-14 04:57:12,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,810B,Evolve M2
10:2b:aa:50:90:ee,-68.00,2026-07-14 04:56:59,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1004B,Evolve M2
10:2b:aa:50:90:a9,-66.00,2026-07-14 04:56:49,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,911A,Evolve M2
10:2b:aa:50:38:23,-67.00,2026-07-14 04:56:43,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,904A,Evolve M2
10:2b:aa:50:36:e2,-66.00,2026-07-14 04:56:20,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,812B,Evolve M2
68:ab:a9:fc:0a:10,-67.00,2026-07-14 04:56:06,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1811B,Evolve M2
10:2b:aa:50:2e:4b,-67.00,2026-07-14 04:55:52,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,410A,Evolve M2
10:2b:aa:50:34:78,-67.00,2026-07-14 04:55:43,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,201B,Evolve M2
10:2b:aa:50:90:91,-35.00,2026-07-14 04:55:36,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,503A,Evolve M2
10:2b:aa:50:33:bb,-66.00,2026-07-14 04:54:47,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,911A,Evolve M2
10:2b:aa:50:35:02,-38.00,2026-07-14 04:54:38,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,909A,Evolve M2
10:2b:aa:50:04:ba,-67.00,2026-07-14 04:54:30,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,410B,Evolve M2
10:2b:aa:50:8f:fe,-36.00,2026-07-14 04:53:51,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,506A,Evolve M2
10:2b:aa:50:2f:a7,-66.00,2026-07-14 04:53:37,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,601B,Evolve M2
