Device ID,Average Net Disruption Count,Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
10:2b:aa:50:92:56,1,2026-07-14 03:14:57,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1512A,Evolve M2
10:2b:aa:50:34:6c,1,2026-07-14 03:14:55,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,405B,Evolve M2
10:2b:aa:50:2c:59,1,2026-07-14 03:14:41,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1710B,Evolve M2
10:2b:aa:50:30:a3,1,2026-07-14 03:14:34,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,701S,Evolve M2
10:2b:aa:50:3f:01,1,2026-07-14 03:14:33,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,301S,Evolve M2
10:2b:aa:50:31:bd,1,2026-07-14 03:14:32,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1009B,Evolve M2
10:2b:aa:50:8f:6b,1,2026-07-14 03:14:27,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1402A,Evolve M2
10:2b:aa:50:35:8c,1,2026-07-14 03:14:09,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1507B,Evolve M2
10:2b:aa:50:30:3a,1,2026-07-14 03:14:08,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,709A,Evolve M2
10:2b:aa:50:04:09,1,2026-07-14 03:14:04,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1005A,Evolve M2
10:2b:aa:50:04:4e,1,2026-07-14 03:12:57,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1209A,Evolve M2
10:2b:aa:51:ea:df,1,2026-07-14 03:12:55,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1101B,Evolve M2
10:2b:aa:50:35:a1,1,2026-07-14 03:12:47,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1608A,Evolve M2
10:2b:aa:50:2e:b1,1,2026-07-14 03:12:33,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,712A,Evolve M2
68:ab:a9:fc:c2:a0,1,2026-07-14 03:12:26,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1812B,Evolve M2
10:2b:aa:4f:fc:f8,1,2026-07-14 03:12:18,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1009A,Evolve M2
10:2b:aa:50:92:5c,1,2026-07-14 03:12:01,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1612A,Evolve M2
10:2b:aa:50:35:32,1,2026-07-14 03:12:00,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,901B,Evolve M2
10:2b:aa:50:3d:69,1,2026-07-14 03:11:53,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,304B,Evolve M2
10:2b:aa:50:33:2e,1,2026-07-14 03:11:49,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1509A,Evolve M2
10:2b:aa:50:33:16,1,2026-07-14 03:11:46,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1508B,Evolve M2
10:2b:aa:50:3a:c9,1,2026-07-14 03:11:37,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,412B,Evolve M2
10:2b:aa:50:3d:ba,1,2026-07-14 03:11:32,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1201B,Evolve M2
10:2b:aa:50:35:7a,1,2026-07-14 03:11:21,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,702A,Evolve M2
10:2b:aa:50:3c:2b,1,2026-07-14 03:11:04,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,402B,Evolve M2
10:2b:aa:51:e7:be,1,2026-07-14 03:10:41,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1501A,Evolve M2
10:2b:aa:50:2f:50,1,2026-07-14 03:10:38,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,810B,Evolve M2
10:2b:aa:50:90:4f,1,2026-07-14 03:10:37,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,502B,Evolve M2
10:2b:aa:51:ea:c4,1,2026-07-14 03:10:32,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,710B,Evolve M2
10:2b:aa:50:3c:34,1,2026-07-14 03:10:15,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1002B,Evolve M2
10:2b:aa:50:3b:3b,1,2026-07-14 03:10:09,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,403B,Evolve M2
10:2b:aa:50:90:58,1,2026-07-14 03:09:57,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,502B,Evolve M2
10:2b:aa:50:2c:fb,1,2026-07-14 03:09:40,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1703B,Evolve M2
10:2b:aa:50:3c:c1,1,2026-07-14 03:09:36,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1503A,Evolve M2
10:2b:aa:50:8c:b3,1,2026-07-14 03:09:19,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,404A,Evolve M2
68:ab:a9:fc:d1:a7,1,2026-07-14 03:09:10,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1811A,Evolve M2
10:2b:aa:50:35:4d,1,2026-07-14 03:09:04,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,403A,Evolve M2
10:2b:aa:50:32:41,1,2026-07-14 03:09:01,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1001S,Evolve M2
10:2b:aa:50:3f:85,1,2026-07-14 03:08:52,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1411A,Evolve M2
10:2b:aa:50:34:8a,1,2026-07-14 03:08:51,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,403A,Evolve M2
10:2b:aa:50:3c:b2,1,2026-07-14 03:08:50,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1109A,Evolve M2
10:2b:aa:50:2c:17,1,2026-07-14 03:08:48,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,609A,Evolve M2
10:2b:aa:50:92:29,1,2026-07-14 03:08:47,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1611A,Evolve M2
10:2b:aa:50:3c:73,1,2026-07-14 03:08:42,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,207A,Evolve M2
10:2b:aa:50:2f:a7,1,2026-07-14 03:08:37,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,601B,Evolve M2
10:2b:aa:50:2d:64,1,2026-07-14 03:08:18,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,801S,Evolve M2
10:2b:aa:50:2f:7a,1,2026-07-14 03:08:05,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1605B,Evolve M2
10:2b:aa:50:32:02,1,2026-07-14 03:08:05,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1511A,Evolve M2
10:2b:aa:51:ea:d6,1,2026-07-14 03:07:54,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1102B,Evolve M2
10:2b:aa:50:90:34,1,2026-07-14 03:07:53,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,504B,Evolve M2
10:2b:aa:50:8e:a5,1,2026-07-14 03:07:50,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1807A,Evolve M2
10:2b:aa:50:33:ee,1,2026-07-14 03:07:48,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1103A,Evolve M2
10:2b:aa:50:36:82,1,2026-07-14 03:07:45,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,602B,Evolve M2
10:2b:aa:50:92:4a,1,2026-07-14 03:07:24,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1602B,Evolve M2
10:2b:aa:50:8e:1b,1,2026-07-14 03:07:20,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,206A,Evolve M2
10:2b:aa:50:33:9a,1,2026-07-14 03:07:18,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,211B,Evolve M2
10:2b:aa:50:3f:16,1,2026-07-14 03:07:15,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,310A,Evolve M2
10:2b:aa:50:36:97,1,2026-07-14 03:07:09,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1210A,Evolve M2
10:2b:aa:51:ea:fd,1,2026-07-14 03:07:09,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1101B,Evolve M2
10:2b:aa:50:38:41,1,2026-07-14 03:07:05,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,811B,Evolve M2
10:2b:aa:50:33:a6,1,2026-07-14 03:06:58,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,609B,Evolve M2
10:2b:aa:50:92:65,1,2026-07-14 03:06:52,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,802A,Evolve M2
10:2b:aa:50:31:a5,1,2026-07-14 03:06:43,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,402B,Evolve M2
10:2b:aa:50:37:c0,1,2026-07-14 03:06:36,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,812A,Evolve M2
10:2b:aa:50:3a:81,1,2026-07-14 03:06:29,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,304B,Evolve M2
10:2b:aa:51:e1:1f,1,2026-07-14 03:06:20,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,502A,Evolve M2
10:2b:aa:50:37:42,1,2026-07-14 03:05:59,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,804B,Evolve M2
10:2b:aa:50:3c:10,1,2026-07-14 03:05:58,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,208A,Evolve M2
10:2b:aa:50:91:84,1,2026-07-14 03:05:54,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,906A,Evolve M2
10:2b:aa:50:04:27,1,2026-07-14 03:05:42,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,708A,Evolve M2
10:2b:aa:50:04:99,1,2026-07-14 03:05:32,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1111A,Evolve M2
10:2b:aa:50:8f:17,1,2026-07-14 03:05:26,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,802B,Evolve M2
10:2b:aa:50:2d:61,1,2026-07-14 03:05:19,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1502A,Evolve M2
10:2b:aa:50:34:0f,1,2026-07-14 03:05:07,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,204A,Evolve M2
10:2b:aa:50:8e:81,1,2026-07-14 03:05:01,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1411B,Evolve M2
10:2b:aa:50:36:3a,1,2026-07-14 03:04:51,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,909B,Evolve M2
10:2b:aa:50:92:c8,1,2026-07-14 03:04:49,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1512A,Evolve M2
