Device ID,Average Net Disruption Count,Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
10:2b:aa:50:90:dc,2,2026-07-14 03:14:49,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1403B,Evolve M2
10:2b:aa:50:04:cf,2,2026-07-14 03:14:47,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1101S,Evolve M2
10:2b:aa:50:39:a6,19,2026-07-14 03:14:37,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,703A,Evolve M2
10:2b:aa:50:8f:68,10,2026-07-14 03:14:36,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,211A,Evolve M2
10:2b:aa:50:34:ed,14,2026-07-14 03:14:32,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,410B,Evolve M2
10:2b:aa:50:3a:60,5,2026-07-14 03:14:31,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,607B,Evolve M2
10:2b:aa:50:3f:b8,7,2026-07-14 03:14:27,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,411B,Evolve M2
10:2b:aa:50:33:2b,10,2026-07-14 03:14:25,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,802A,Evolve M2
10:2b:aa:50:34:90,2,2026-07-14 03:14:24,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,501S,Evolve M2
10:2b:aa:50:8f:80,2,2026-07-14 03:14:21,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1808B,Evolve M2
10:2b:aa:50:8f:b9,9,2026-07-14 03:14:19,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1707B,Evolve M2
10:2b:aa:50:32:6e,11,2026-07-14 03:14:18,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,809B,Evolve M2
10:2b:aa:50:32:8f,4,2026-07-14 03:14:16,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1807B,Evolve M2
10:2b:aa:50:2f:98,2,2026-07-14 03:14:13,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,406A,Evolve M2
