Device ID,Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
18:0c:7a:8a:af:84,2026-07-13 12:14:48,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,221,Evolve M2
18:0c:7a:8a:aa:95,2026-07-13 12:14:43,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,140,Evolve M2
18:0c:7a:8a:a9:ed,2026-07-13 12:12:32,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,123,Evolve M2
38:e1:f4:49:26:53,2026-07-13 12:12:23,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,211,Evolve M2
18:0c:7a:8a:a9:d2,2026-07-13 12:11:09,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,133,Evolve M2
18:0c:7a:8a:ac:9c,2026-07-13 12:11:00,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,238,Evolve M2
18:0c:7a:8a:b3:56,2026-07-13 12:10:36,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,234,Evolve M2
38:e1:f4:49:24:02,2026-07-13 12:10:23,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,145,Evolve M2
18:0c:7a:8a:b2:ed,2026-07-13 12:10:09,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,225,Evolve M2
18:0c:7a:8a:aa:74,2026-07-13 12:07:47,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,135,Evolve M2
18:0c:7a:8a:ab:13,2026-07-13 12:07:42,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,243,Evolve M2
18:0c:7a:8a:aa:c8,2026-07-13 12:07:30,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,119,Evolve M2
18:0c:7a:8a:ab:3d,2026-07-13 12:07:29,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,245,Evolve M2
18:0c:7a:8a:aa:5f,2026-07-13 12:07:28,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,131,Evolve M2
18:0c:7a:8a:aa:50,2026-07-13 12:07:26,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,130,Evolve M2
18:0c:7a:8a:ab:1f,2026-07-13 12:07:14,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,121,Evolve M2
18:0c:7a:8a:ae:c7,2026-07-13 12:07:09,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,118,Evolve M2
38:e1:f4:49:27:58,2026-07-13 12:07:01,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,215,Evolve M2
38:e1:f4:49:24:3c,2026-07-13 12:06:56,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,216,Evolve M2
18:0c:7a:8a:a9:f3,2026-07-13 12:06:55,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,139,Evolve M2
18:0c:7a:8a:b3:cb,2026-07-13 12:06:47,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,241,Evolve M2
18:0c:7a:8a:ae:3d,2026-07-13 12:06:46,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,114,Evolve M2
18:0c:7a:8a:aa:d1,2026-07-13 12:06:43,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,137,Evolve M2
18:0c:7a:8a:ab:97,2026-07-13 12:06:42,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,103,Evolve M2
38:e1:f4:49:21:41,2026-07-13 12:06:38,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,EVOLVE,Evolve M2
18:0c:7a:89:32:0a,2026-07-13 12:06:37,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,144,Evolve M2
18:0c:7a:8a:a0:ae,2026-07-13 12:06:36,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,104,Evolve M2
18:0c:7a:8a:b2:78,2026-07-13 12:06:33,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,228,Evolve M2
18:0c:7a:8a:b3:4a,2026-07-13 12:06:30,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,239,Evolve M2
18:0c:7a:8a:ab:be,2026-07-13 12:06:27,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,242,Evolve M2
38:e1:f4:49:23:43,2026-07-13 12:06:23,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,218,Evolve M2
18:0c:7a:8a:ac:0c,2026-07-13 12:06:22,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,142,Evolve M2
18:0c:7a:8a:b3:b9,2026-07-13 12:06:20,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,EVOLVE,Evolve M2
18:0c:7a:8a:aa:8c,2026-07-13 12:06:15,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,136,Evolve M2
18:0c:7a:8a:a9:42,2026-07-13 12:06:12,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,110,Evolve M2
38:e1:f4:49:27:21,2026-07-13 12:06:12,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,204,Evolve M2
38:e1:f4:49:27:71,2026-07-13 12:06:08,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,209,Evolve M2
38:e1:f4:49:25:6e,2026-07-13 12:06:01,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,206,Evolve M2
18:0c:7a:8a:a9:96,2026-07-13 12:05:57,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,146,Evolve M2
18:0c:7a:8a:ab:61,2026-07-13 12:05:55,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,227,Evolve M2
18:0c:7a:8a:ac:51,2026-07-13 12:05:48,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,117,Evolve M2
18:0c:7a:8a:aa:2c,2026-07-13 12:05:45,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,126,Evolve M2
18:0c:7a:8a:ae:8b,2026-07-13 12:05:45,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,102,Evolve M2
18:0c:7a:8a:aa:53,2026-07-13 12:05:42,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,134,Evolve M2
38:e1:f4:49:1a:13,2026-07-13 12:05:41,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,202,Evolve M2
18:0c:7a:8a:b3:b0,2026-07-13 12:05:39,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,235,Evolve M2
18:0c:7a:8a:ab:9a,2026-07-13 12:05:38,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,244,Evolve M2
38:e1:f4:49:26:66,2026-07-13 12:05:35,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,201,Evolve M2
18:0c:7a:8a:b2:36,2026-07-13 12:05:14,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,224,Evolve M2
18:0c:7a:8a:b3:bc,2026-07-13 12:05:09,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,EVOLVE,Evolve M2
18:0c:7a:8a:b2:7e,2026-07-13 12:04:49,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,237,Evolve M2
18:0c:7a:8a:b0:35,2026-07-13 12:04:46,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,230,Evolve M2
18:0c:7a:8a:a9:21,2026-07-13 12:04:40,8W9Vs8vSTh8o874cEook5PuYkyqWXHKR,MVM594 - Red Roof Inn Thomasville GA,127,Evolve M2
