Device ID,Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
10:2b:aa:50:30:79,2026-07-30 12:14:59,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,706A,Evolve M2
10:2b:aa:50:90:22,2026-07-30 12:14:59,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,503B,Evolve M2
10:2b:aa:50:30:67,2026-07-30 12:14:59,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,709B,Evolve M2
10:2b:aa:50:30:af,2026-07-30 12:14:58,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,803A,Evolve M2
10:2b:aa:50:90:f7,2026-07-30 12:14:56,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,1003A,Evolve M2
10:2b:aa:50:3b:f5,2026-07-30 12:14:48,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,907A,Evolve M2
10:2b:aa:50:38:5c,2026-07-30 12:14:48,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,306B@L,Evolve M2
10:2b:aa:50:8c:ec,2026-07-30 12:14:48,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,412A,Evolve M2
10:2b:aa:50:32:bc,2026-07-30 12:14:47,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,1807A@B,Evolve M2
10:2b:aa:50:2e:b1,2026-07-30 12:14:46,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,712A,Evolve M2
10:2b:aa:50:31:6c,2026-07-30 12:14:46,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,1810A@B,Evolve M2
10:2b:aa:50:92:2c,2026-07-30 12:14:44,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,1609A@B,Evolve M2
10:2b:aa:50:3d:84,2026-07-30 12:14:44,NxAdYxekQZxahxWUdflx3oODft9AoCVH,The Berkley Las Vegas (MVM784) 006Ql00000f29sP,101AL,Evolve M2
