Device ID,RSSI (dBm),Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
18:0c:7a:8a:ab:4f,-61.00,2025-10-03 10:59:25,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,116@br,Evolve M2
D4:3A:2E:36:06:9B,-69.00,2025-10-03 10:59:01,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,428,Evolve S1
18:0c:7a:89:2d:45,-63.00,2025-10-03 10:57:57,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,422,Evolve M2
D4:3A:2E:36:0D:84,-65.00,2025-10-03 10:57:47,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,1,Evolve S1
18:0c:7a:8a:b2:1e,-66.00,2025-10-03 10:57:40,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,122,Evolve M2
18:0c:7a:89:13:e3,-66.00,2025-10-03 10:57:19,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,214,Evolve M2
18:0c:7a:89:2c:4f,-61.00,2025-10-03 10:56:52,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,410,Evolve M2
18:0c:7a:8a:ab:04,-83.00,2025-10-03 10:56:44,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,225,Evolve M2
18:0c:7a:89:2d:96,-64.00,2025-10-03 10:56:13,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,417,Evolve M2
18:0c:7a:89:2a:4b,-65.00,2025-10-03 10:55:55,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,209,Evolve M2
18:0c:7a:8a:ab:19,-77.00,2025-10-03 10:55:54,s3Y8nZbefeI463AwGle9ylaVv53PFdBz,MVM702 - Comfort Inn Sarasota FL,304@br,Evolve M2
