Device ID,Average Net Disruption Count,Timestamp (AST - America/Anguilla (UTC-04:00)),Site ID,Site Name,Room Number,Device Type
10:2b:aa:50:2c:aa,0,2026-07-14 03:14:55,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1705A,Evolve M2
10:2b:aa:50:3e:80,0,2026-07-14 03:14:55,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1708B,Evolve M2
10:2b:aa:51:ea:4c,0,2026-07-14 03:14:53,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1205A,Evolve M2
10:2b:aa:50:90:ca,0,2026-07-14 03:14:52,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1511B,Evolve M2
10:2b:aa:50:38:80,0,2026-07-14 03:14:50,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,404B,Evolve M2
10:2b:aa:50:31:0f,0,2026-07-14 03:14:47,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1403A,Evolve M2
10:2b:aa:51:e8:21,0,2026-07-14 03:14:46,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1212A,Evolve M2
10:2b:aa:50:92:47,0,2026-07-14 03:14:45,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1610B,Evolve M2
10:2b:aa:50:2e:54,0,2026-07-14 03:14:41,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1112A,Evolve M2
10:2b:aa:50:90:19,0,2026-07-14 03:14:41,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,509A,Evolve M2
10:2b:aa:50:33:c4,0,2026-07-14 03:14:39,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,907B,Evolve M2
10:2b:aa:50:39:e2,0,2026-07-14 03:14:39,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,706B,Evolve M2
10:2b:aa:50:2c:e0,0,2026-07-14 03:14:38,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1604B,Evolve M2
10:2b:aa:50:38:2c,0,2026-07-14 03:14:36,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,805A,Evolve M2
10:2b:aa:50:31:4b,0,2026-07-14 03:14:35,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1206B,Evolve M2
10:2b:aa:50:8f:44,0,2026-07-14 03:14:34,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,803B,Evolve M2
10:2b:aa:50:39:55,0,2026-07-14 03:14:34,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,704B,Evolve M2
10:2b:aa:50:33:5b,0,2026-07-14 03:14:33,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,608A,Evolve M2
10:2b:aa:50:31:5d,0,2026-07-14 03:14:33,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1207B,Evolve M2
10:2b:aa:50:37:fc,0,2026-07-14 03:14:31,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1107A,Evolve M2
10:2b:aa:50:04:45,0,2026-07-14 03:14:30,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1107B,Evolve M2
10:2b:aa:50:30:55,0,2026-07-14 03:14:29,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,703A,Evolve M2
10:2b:aa:50:33:1f,0,2026-07-14 03:14:29,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,809A,Evolve M2
10:2b:aa:50:30:2e,0,2026-07-14 03:14:25,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,712B,Evolve M2
10:2b:aa:50:33:3a,0,2026-07-14 03:14:20,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1409A,Evolve M2
10:2b:aa:50:2c:26,0,2026-07-14 03:14:19,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,612B,Evolve M2
10:2b:aa:50:32:c8,0,2026-07-14 03:14:14,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1707B,Evolve M2
10:2b:aa:50:2f:b9,0,2026-07-14 03:14:13,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1609A,Evolve M2
68:ab:a9:f8:52:d5,0,2026-07-14 03:14:11,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1809A,Evolve M2
10:2b:aa:50:31:9c,0,2026-07-14 03:14:09,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1510A,Evolve M2
10:2b:aa:50:8f:2f,0,2026-07-14 03:14:07,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,909B,Evolve M2
10:2b:aa:50:37:27,0,2026-07-14 03:14:06,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1812A,Evolve M2
10:2b:aa:50:2e:5d,0,2026-07-14 03:14:05,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1206B,Evolve M2
10:2b:aa:50:91:b1,0,2026-07-14 03:14:03,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1605B,Evolve M2
10:2b:aa:50:2f:4a,0,2026-07-14 03:14:03,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,1112B,Evolve M2
10:2b:aa:50:30:04,0,2026-07-14 03:14:02,NxAdYxekQZxahxWUdflx3oODft9AoCVH,MVM784 - The Berkley Las Vegas,901S,Evolve M2
