mac,room,ip,stb_id,mac_is_randomized
10:2b:aa:50:3d:67,208A@L,192.168.202.243,2102,False
10:2b:aa:50:3e:c3,1711A@B,192.168.202.126,2112,False
10:2b:aa:50:3b:15,1710A@B,192.168.201.18,2113,False
5a:f7:0b:7c:40:cd,1611A,192.168.201.184,2114,True
10:2b:aa:50:31:ac,1101A@L,192.168.203.180,2117,False
10:2b:aa:51:ea:d7,1102B@L,192.168.200.63,2119,False
10:2b:aa:50:37:40,1701A@L,192.168.202.123,2120,False
10:2b:aa:50:32:ba,1408A@L,192.168.201.138,2121,False
10:2b:aa:50:37:64,1508A,192.168.203.110,2123,False
10:2b:aa:50:38:24,904A@L,192.168.203.63,2125,False
10:2b:aa:50:32:4e,207B@L,192.168.203.176,2126,False
10:2b:aa:50:2c:cc,1103A@L,192.168.202.193,2127,False
3e:62:22:93:48:62,503B,192.168.201.253,2129,True
10:2b:aa:50:91:cd,GYM@2,192.168.203.77,2130,False
42:82:c9:67:32:7e,511B,192.168.202.57,2131,True
66:c8:2a:f6:a7:71,309A,192.168.203.71,2133,True
10:2b:aa:50:32:db,607A@B,192.168.202.254,2134,False
1e:ff:29:89:dc:62,201A,192.168.202.185,2135,True
10:2b:aa:50:3f:62,511B@L,192.168.201.252,2136,False
10:2b:aa:50:38:66,311A@B,192.168.203.38,2137,False
10:2b:aa:50:90:dd,1403B@B,192.168.203.150,2138,False
10:2b:aa:50:92:81,1603B@B,192.168.203.244,2145,False
10:2b:aa:50:38:09,307A@L,192.168.203.224,2146,False
02:16:b5:ed:1c:39,1712B,192.168.202.130,2148,True
10:2b:aa:50:38:54,307A@B,192.168.203.67,2151,False
de:af:18:6d:fc:e9,309B,192.168.202.171,2152,True
10:2b:aa:50:3c:86,101B@L,192.168.201.135,2155,False
10:2b:aa:50:2c:e1,1604B@L,192.168.200.109,2156,False
10:2b:aa:50:3c:11,208A@B,192.168.202.165,2159,False
e2:2b:21:65:4c:ad,1101A,192.168.202.76,2162,True
10:2b:aa:50:32:7b,1808B@B,192.168.202.247,2164,False
10:2b:aa:50:3d:85,101A@L,192.168.202.156,2165,False
10:2b:aa:50:3f:23,1103B@L,192.168.201.219,2166,False
10:2b:aa:50:38:99,1004A@L,192.168.202.140,2168,False
10:2b:aa:50:38:42,811B,192.168.202.160,2169,False
02:9c:1b:8e:f7:19,210B,192.168.202.236,2170,True
7e:da:23:a0:34:8e,805A,192.168.202.119,2171,True
10:2b:aa:50:32:ae,701A@L,192.168.203.56,2172,False
10:2b:aa:50:36:7d,1007A@L,192.168.201.238,2175,False
b2:e6:8e:ab:03:24,505B,192.168.202.44,2176,True
10:2b:aa:50:3b:3c,403B@L,192.168.200.240,2181,False
10:2b:aa:50:36:11,901A@B,192.168.203.157,2182,False
10:2b:aa:50:8f:42,1608B@L,192.168.203.97,2184,False
16:a8:6b:4a:83:dd,104B,192.168.202.108,2185,True
6e:70:81:64:dd:23,103A,192.168.203.44,2186,True
10:2b:aa:50:2e:dc,707A@L,192.168.203.32,2188,False
10:2b:aa:50:90:74,1705A@B,192.168.203.175,2190,False
10:2b:aa:50:36:e0,1604A@L,192.168.203.40,2192,False
7a:37:48:bd:c3:ec,308B,192.168.202.114,2196,True
10:2b:aa:50:92:4b,1602B@L,192.168.203.137,2198,False
ea:41:76:ae:90:d6,403A,192.168.203.120,2200,True
12:18:e0:64:72:e2,412A,192.168.202.163,2203,True
10:2b:aa:50:35:4e,403A@L,192.168.201.148,2204,False
10:2b:aa:51:e2:49,505A@B,192.168.202.120,2207,False
10:2b:aa:50:3a:b8,1201A@L,192.168.201.21,2208,False
10:2b:aa:50:39:a7,703A@B,192.168.203.101,2215,False
10:2b:aa:50:2e:64,1206A@B,192.168.201.235,2216,False
be:54:2d:ca:30:fa,509A,192.168.202.139,2217,True
10:2b:aa:50:3e:81,1708B@L,192.168.203.178,2219,False
26:d4:35:71:a8:a5,1407A,192.168.203.48,2220,True
7e:34:1d:a8:ff:a4,312B,192.168.203.88,2224,True
10:2b:aa:50:39:65,508B@B,192.168.202.182,2228,False
