mac,room,ip,stb_id,mac_is_randomized
38:e1:f4:48:ca:68,1007@L,192.168.212.31,473643,False
18:0c:7a:8a:88:58,1026@L,192.168.213.91,473649,False
8c:9a:8f:d9:e7:7a,2041@L,192.168.213.76,473651,False
18:0c:7a:8a:96:bf,1012@L,192.168.213.172,473652,False
38:e1:f4:49:84:be,2051@L,192.168.212.213,473654,False
18:0c:7a:8a:86:f3,1040@L,192.168.213.232,473658,False
8c:9a:8f:d9:ec:59,1050@L,192.168.212.221,473659,False
38:e1:f4:48:91:43,1033@L,192.168.213.212,473662,False
18:0c:7a:8a:8c:48,1008@L,192.168.212.193,473663,False
38:e1:f4:48:93:cb,1028@L,192.168.212.254,473665,False
18:0c:7a:8a:86:36,1079@B2,192.168.212.246,473666,False
38:e1:f4:48:81:87,2059@B1,192.168.212.50,473670,False
38:e1:f4:49:84:bb,2052@L,192.168.212.231,473673,False
38:e1:f4:48:92:4e,1044@L,192.168.213.58,473674,False
38:e1:f4:48:8c:b5,2081@L,192.168.212.187,473676,False
18:0c:7a:8a:86:c9,1035@B2,192.168.212.127,473677,False
38:e1:f4:48:92:39,1028@B2,192.168.212.211,473680,False
38:e1:f4:48:84:08,2006@B,192.168.212.245,473681,False
38:e1:f4:48:db:37,2023@B1,192.168.212.93,473683,False
ee:9c:db:7a:28:f1,2021,192.168.212.232,473685,True
38:e1:f4:48:85:e0,1067@B2,192.168.212.45,473689,False
38:e1:f4:48:82:85,2027@L,192.168.213.8,473691,False
38:e1:f4:48:83:91,2029@B1,192.168.213.252,473692,False
38:e1:f4:48:8c:3c,1001@L,192.168.213.246,473693,False
38:e1:f4:48:76:9d,2011@B1,192.168.213.124,473694,False
38:e1:f4:48:8b:f5,2076@B1,192.168.213.86,473696,False
18:0c:7a:8a:8a:a4,1059@L,192.168.213.93,473703,False
38:e1:f4:48:da:94,1016@L,192.168.213.187,473707,False
38:e1:f4:48:91:0c,2071@B1,192.168.212.98,473709,False
38:e1:f4:48:80:69,2064@B1,192.168.213.250,473711,False
38:e1:f4:48:83:ee,2028@L,192.168.212.54,473712,False
8c:9a:8f:d9:ed:04,2035@L,192.168.213.156,473713,False
