mac,room,ip,stb_id,mac_is_randomized
10:2b:aa:51:56:b6,6908B,172.20.193.17,338718,False
10:2b:aa:51:5e:00,51106A,172.20.219.149,338719,False
10:2b:aa:51:68:e3,41810A,172.20.208.47,338720,False
10:2b:aa:51:52:6c,51107B,172.20.223.87,338723,False
10:2b:aa:51:ff:bc,2803A,172.20.197.69,338724,False
68:ab:a9:fe:8c:7a,9605B,172.20.206.106,338725,False
10:2b:aa:51:57:04,91009B,172.20.196.103,338726,False
e2:85:7c:dc:f5:8f,4901B,172.20.211.187,338728,True
10:2b:aa:51:49:81,9906A,172.20.196.76,338732,False
c6:d5:03:f4:a3:13,1208B,172.20.199.124,338733,True
10:2b:aa:51:62:e3,51502A,172.20.218.148,338734,False
10:2b:aa:51:4e:2b,51702A,172.20.218.52,338737,False
68:ab:a9:f8:d5:b2,61806B,172.20.194.249,338738,False
68:ab:a9:fb:05:d3,3606A,172.20.194.83,338739,False
c2:cb:1b:93:03:3b,2405B,172.20.199.189,338740,True
68:ab:a9:f7:be:8d,9043A,172.20.192.106,338741,False
10:2b:aa:51:53:8f,4307B,172.20.210.58,338742,False
10:2b:aa:51:66:4c,5403B,172.20.222.10,338743,False
64:18:df:73:d9:e5,61905B,172.20.209.92,338744,False
10:2b:aa:51:5d:34,5104A,172.20.223.196,338746,False
10:2b:aa:51:65:56,3506B,172.20.196.153,338747,False
64:18:df:74:88:59,62007B,172.20.213.103,338748,False
64:18:df:74:4d:eb,41906A,172.20.198.25,338749,False
68:ab:a9:f8:26:d1,31002B,172.20.193.163,338750,False
10:2b:aa:51:66:f7,52108B,172.20.197.144,338751,False
68:ab:a9:f8:63:79,3103B,172.20.199.12,338753,False
10:2b:aa:51:6b:71,3507A,172.20.193.255,338754,False
10:2b:aa:51:4a:a4,3801B,172.20.195.21,338755,False
68:ab:a9:fe:db:31,62110A,172.20.213.47,338756,False
64:18:df:73:f6:18,52004A,172.20.222.211,338760,False
16:e9:ef:b5:87:2e,9407B,172.20.214.70,338761,True
68:ab:a9:ff:14:fe,21203B,172.20.198.140,338762,False
10:2b:aa:52:68:3b,9810A,172.20.222.191,338768,False
68:ab:a9:fe:6d:4a,2801B,172.20.221.90,338771,False
64:18:df:74:52:da,91001A,172.20.201.225,338772,False
68:ab:a9:f8:c1:0b,9508A,172.20.200.150,338774,False
c2:57:25:c3:46:8b,8707A,172.20.202.89,338775,True
64:18:df:74:04:49,4901B,172.20.207.168,338776,False
10:2b:aa:51:fd:a3,31206A,172.20.197.61,338777,False
10:2b:aa:51:4f:63,5708A,172.20.220.157,338779,False
68:ab:a9:fe:95:a8,8904A,172.20.222.75,338780,False
10:2b:aa:51:4c:6c,61702B,172.20.212.104,338781,False
10:2b:aa:51:56:50,6706A,172.20.220.211,338783,False
10:2b:aa:51:67:d5,91107A,172.20.223.134,338784,False
68:ab:a9:fc:7d:ea,3208B,172.20.193.50,338785,False
64:18:df:74:81:90,41907A,172.20.209.175,338786,False
64:18:df:74:1d:a3,41410B,172.20.205.101,338787,False
64:18:df:73:f5:d6,42105A,172.20.207.66,338788,False
10:2b:aa:51:60:6a,6902A,172.20.213.193,338789,False
10:2b:aa:51:59:c5,6904A,172.20.197.149,338792,False
10:2b:aa:51:f7:c4,2806B,172.20.196.82,338793,False
10:2b:aa:51:55:63,91009A,172.20.196.93,338794,False
68:ab:a9:fb:d6:5a,1404A@L,172.20.198.57,338795,False
10:2b:aa:52:65:50,2604A,172.20.197.167,338796,False
ca:29:b8:44:83:fe,5910B,172.20.200.49,338800,True
64:18:df:74:13:52,6802A,172.20.211.28,338801,False
10:2b:aa:51:ee:d6,9310A,172.20.206.194,338802,False
10:2b:aa:51:68:86,41810A,172.20.208.49,338803,False
68:ab:a9:fe:fa:e3,31010A,172.20.202.77,338804,False
10:2b:aa:51:ff:bf,2804A,172.20.197.62,338806,False
68:ab:a9:fe:db:57,62108A,172.20.223.227,338807,False
10:2b:aa:51:51:7f,41407A,172.20.218.124,338808,False
2e:fe:cc:a4:ea:06,61010B,172.20.209.236,338809,True
64:18:df:73:b6:5e,4702B,172.20.209.130,338810,False
10:2b:aa:51:f8:8a,2302B,172.20.196.235,338811,False
10:2b:aa:51:4f:e7,6110B,172.20.197.104,338812,False
10:2b:aa:51:52:b4,41108B,172.20.206.34,338813,False
66:57:95:f1:9e:97,2303B,172.20.222.222,338814,True
68:ab:a9:fc:4c:74,21204B,172.20.198.245,338818,False
10:2b:aa:51:57:64,51504A,172.20.223.73,338822,False
10:2b:aa:51:63:5b,GYM3,172.20.222.204,338823,False
8a:3f:aa:43:2f:4f,GYM1,172.20.222.227,338824,True
68:ab:a9:fc:10:af,1301A@L,172.20.199.121,338825,False
64:18:df:73:e2:eb,4406A,172.20.219.141,338826,False
68:ab:a9:f8:e3:a9,11007A,172.20.223.71,338829,False
68:ab:a9:f8:84:e7,2701A,172.20.197.125,338830,False
68:ab:a9:fc:8c:1b,2902A,172.20.198.45,338831,False
68:ab:a9:fb:48:2f,1402A@B,172.20.197.105,338834,False
10:2b:aa:51:fd:e2,8108A,172.20.198.53,338835,False
68:ab:a9:fc:1f:a6,2606B,172.20.197.146,338843,False
