icx_label,ethernet_mac,wifi_mac_derived,last_seen_icx,days_since,mdns_label,mdns_mac,mdns_ip,mdns_note,labeling_correction,source,room,site,lockout,reswept,reswept_at
31209A,10:2b:aa:51:5b:fe,10:2b:aa:51:5b:ff,2026-08-07 09:07:27,0.01,31209A,10:2b:aa:51:5b:ff,172.20.220.62,,,iCX,31209A,MVM783,31209A,no,
31209A,10:2b:aa:51:5c:67,10:2b:aa:51:5c:68,2026-08-07 09:00:24,0.01,31209A,10:2b:aa:51:5c:68,172.20.204.174,,,iCX,31209A,MVM783,31209A,no,
,,,,,31209A,ca:26:5b:69:cc:be,172.20.206.223,Stale MAC (randomized),,mDNS only,31209A,MVM783,31209A,no,
,,,,,31209A,d2:9c:ae:61:37:9f,172.20.210.200,Stale MAC (randomized),,mDNS only,31209A,MVM783,31209A,no,
31209B,64:18:df:73:c8:ae,64:18:df:73:c8:af,2026-08-07 09:14:29,0.0,31209B,64:18:df:73:c8:af,172.20.195.20,,,iCX,31209B,MVM783,31209B,no,
31209B,64:18:df:73:de:3d,64:18:df:73:de:3e,2026-08-07 09:09:16,0.0,31209B,64:18:df:73:de:3e,172.20.195.23,,,iCX,31209B,MVM783,31209B,no,
,,,,,31209B,5e:41:0e:0e:5e:5e,172.20.214.41,Stale MAC (randomized),,mDNS only,31209B,MVM783,31209B,no,
,,,,,31209B,92:dc:a6:d0:72:d6,172.20.214.63,Stale MAC (randomized),,mDNS only,31209B,MVM783,31209B,no,
31210A,68:ab:a9:fc:29:2e,68:ab:a9:fc:29:2f,2026-08-07 09:14:15,0.0,31210A,68:ab:a9:fc:29:2f,172.20.193.179,,,iCX,31210A,MVM783,31210A,no,
31210A,68:ab:a9:fc:28:a3,68:ab:a9:fc:28:a4,2026-08-07 09:01:29,0.01,,,,Not in mDNS,,iCX,31210A,MVM783,31210A,no,
,,,,,31210A,ca:6d:4c:0f:02:31,172.20.217.235,Stale MAC (randomized),,mDNS only,31210A,MVM783,31210A,no,
31210B,64:18:df:73:da:e3,64:18:df:73:da:e4,2026-08-07 09:11:31,0.0,31210B,64:18:df:73:da:e4,172.20.195.46,,,iCX,31210B,MVM783,31210B,no,
31210B,64:18:df:73:e1:f1,64:18:df:73:e1:f2,2026-08-07 09:05:59,0.01,31210B,64:18:df:73:e1:f2,172.20.198.14,,,iCX,31210B,MVM783,31210B,no,
3201A,64:18:df:73:c5:50,64:18:df:73:c5:51,2026-08-07 09:04:17,0.01,3201A,64:18:df:73:c5:51,172.20.218.240,,,iCX,3201A,MVM783,3201,no,
3201A,10:2b:aa:51:5d:2d,10:2b:aa:51:5d:2e,2026-08-07 09:01:01,0.01,3201A,10:2b:aa:51:5d:2e,172.20.192.201,,,iCX,3201A,MVM783,3201,no,
3201B,10:2b:aa:51:64:8f,10:2b:aa:51:64:90,2026-08-07 09:07:50,0.0,3201B,10:2b:aa:51:64:90,172.20.192.186,,,iCX,3201B,MVM783,3201,no,
3201B,68:ab:a9:f8:55:85,68:ab:a9:f8:55:86,2026-08-07 09:03:59,0.01,3201B,68:ab:a9:f8:55:86,172.20.192.188,,,iCX,3201B,MVM783,3201,no,
,,,,,3201A,be:a9:85:30:24:04,172.20.194.212,Stale MAC (randomized),,mDNS only,3201A,MVM783,3201,no,
3202A,68:ab:a9:f8:32:94,68:ab:a9:f8:32:95,2026-08-07 09:07:27,0.01,3202A,68:ab:a9:f8:32:95,172.20.207.40,,,iCX,3202A,MVM783,3202,no,
3202A,68:ab:a9:f7:e2:fe,68:ab:a9:f7:e2:ff,2026-08-07 09:07:06,0.01,3202A,68:ab:a9:f7:e2:ff,172.20.220.130,,,iCX,3202A,MVM783,3202,no,
3202B,68:ab:a9:f8:55:64,68:ab:a9:f8:55:65,2026-08-07 09:12:44,0.0,3202B,68:ab:a9:f8:55:65,172.20.209.93,,,iCX,3202B,MVM783,3202,no,
3202B,68:ab:a9:f8:07:41,68:ab:a9:f8:07:42,2026-08-07 09:01:16,0.01,3202B,68:ab:a9:f8:07:42,172.20.207.82,,,iCX,3202B,MVM783,3202,no,
,,,,,3202A,d6:98:dd:14:67:23,172.20.200.119,Stale MAC (randomized),,mDNS only,3202A,MVM783,3202,no,
,,,,,3202B,e2:16:4d:13:b3:ec,172.20.200.168,Stale MAC (randomized),,mDNS only,3202B,MVM783,3202,no,
,,,,,3202B,f2:27:6d:59:8a:18,172.20.202.6,Stale MAC (randomized),,mDNS only,3202B,MVM783,3202,no,
3203A,68:ab:a9:f7:e3:77,68:ab:a9:f7:e3:78,2026-08-07 09:05:39,0.01,3203A,68:ab:a9:f7:e3:78,172.20.192.248,,,iCX,3203A,MVM783,3203,no,
3203A,68:ab:a9:f7:df:eb,68:ab:a9:f7:df:ec,2026-08-07 09:05:12,0.01,3203A,68:ab:a9:f7:df:ec,172.20.221.112,,,iCX,3203A,MVM783,3203,no,
3203B,68:ab:a9:fc:85:3e,68:ab:a9:fc:85:3f,2026-08-07 09:10:53,0.0,3203B,68:ab:a9:fc:85:3f,172.20.220.118,,,iCX,3203B,MVM783,3203,no,
3203B,68:ab:a9:fc:86:60,68:ab:a9:fc:86:61,2026-08-07 09:02:27,0.01,3203B,68:ab:a9:fc:86:61,172.20.193.165,,,iCX,3203B,MVM783,3203,no,
,,,,,3203A,f6:d2:0c:ec:14:a1,172.20.215.189,Stale MAC (randomized),,mDNS only,3203A,MVM783,3203,no,
,,,,,3203A,9e:85:01:70:eb:79,172.20.195.108,Stale MAC (randomized),,mDNS only,3203A,MVM783,3203,no,
,,,,,3203B,c6:a1:cb:a1:e5:97,172.20.195.136,Stale MAC (randomized),,mDNS only,3203B,MVM783,3203,no,
,,,,,3203B,9a:3c:2c:20:cf:59,172.20.211.102,Stale MAC (randomized),,mDNS only,3203B,MVM783,3203,no,
3204A,68:ab:a9:fc:4a:7e,68:ab:a9:fc:4a:7f,2026-08-07 09:11:13,0.0,,,,Not in mDNS,,iCX,3204A,MVM783,3204,no,
3204A,68:ab:a9:fc:36:c6,68:ab:a9:fc:36:c7,2026-08-07 09:10:57,0.0,3204A,68:ab:a9:fc:36:c7,172.20.193.19,,,iCX,3204A,MVM783,3204,no,
3204B,68:ab:a9:fc:50:67,68:ab:a9:fc:50:68,2026-08-07 09:06:08,0.01,3204B,68:ab:a9:fc:50:68,172.20.219.208,,,iCX,3204B,MVM783,3204,no,
3204B,68:ab:a9:fc:0f:19,68:ab:a9:fc:0f:1a,2026-08-07 09:04:39,0.01,,,,Not in mDNS,,iCX,3204B,MVM783,3204,no,
,,,,,3204A,1e:a6:5a:10:1c:b4,172.20.213.225,Stale MAC (randomized),,mDNS only,3204A,MVM783,3204,no,
,,,,,3204B,32:0e:46:66:87:e3,172.20.201.133,Stale MAC (randomized),,mDNS only,3204B,MVM783,3204,no,
,,,,,3204B,e2:f7:b5:f1:e9:bb,172.20.216.11,Stale MAC (randomized),,mDNS only,3204B,MVM783,3204,no,
3205A,68:ab:a9:fc:55:dc,68:ab:a9:fc:55:dd,2026-08-07 09:05:48,0.01,,,,Not in mDNS,,iCX,3205A,MVM783,3205,no,
3205A,68:ab:a9:fc:a7:bb,68:ab:a9:fc:a7:bc,2026-08-07 09:03:41,0.01,3205A,68:ab:a9:fc:a7:bc,172.20.193.39,,,iCX,3205A,MVM783,3205,no,
3205B,68:ab:a9:fc:4a:46,68:ab:a9:fc:4a:47,2026-08-07 09:12:28,0.0,3205B,68:ab:a9:fc:4a:47,172.20.193.34,,,iCX,3205B,MVM783,3205,no,
3205B,68:ab:a9:f9:3f:53,68:ab:a9:f9:3f:54,2026-08-07 09:06:41,0.01,3205B,68:ab:a9:f9:3f:54,172.20.193.32,,,iCX,3205B,MVM783,3205,no,
,,,,,3205A,12:d5:04:5d:ac:85,172.20.212.178,Stale MAC (randomized),,mDNS only,3205A,MVM783,3205,no,
,,,,,3205B,d2:4e:e0:10:5f:67,172.20.214.154,Stale MAC (randomized),,mDNS only,3205B,MVM783,3205,no,
3206A,68:ab:a9:fc:a3:d2,68:ab:a9:fc:a3:d3,2026-08-07 09:12:39,0.0,3206A,68:ab:a9:fc:a3:d3,172.20.218.184,,,iCX,3206A,MVM783,3206,no,
3206A,68:ab:a9:fc:a5:65,68:ab:a9:fc:a5:66,2026-08-07 09:11:04,0.0,,,,Not in mDNS,,iCX,3206A,MVM783,3206,no,
3206B,68:ab:a9:f8:54:f5,68:ab:a9:f8:54:f6,2026-08-07 09:08:31,0.0,3206B,68:ab:a9:f8:54:f6,172.20.217.2,,,iCX,3206B,MVM783,3206,no,
3206B,68:ab:a9:fc:a7:3f,68:ab:a9:fc:a7:40,2026-08-07 09:00:32,0.01,3206B,68:ab:a9:fc:a7:40,172.20.222.231,,,iCX,3206B,MVM783,3206,no,
,,,,,3206A,de:0a:66:a5:07:bb,172.20.201.200,Stale MAC (randomized),,mDNS only,3206A,MVM783,3206,no,
,,,,,3206B,b6:be:2f:b3:fc:7b,172.20.203.43,Stale MAC (randomized),,mDNS only,3206B,MVM783,3206,no,
3207A,68:ab:a9:f8:f2:3d,68:ab:a9:f8:f2:3e,2026-08-07 09:12:20,0.0,3207A,68:ab:a9:f8:f2:3e,172.20.218.103,,,iCX,3207A,MVM783,3207,no,
3207A,68:ab:a9:fe:53:24,68:ab:a9:fe:53:25,2026-08-07 09:09:03,0.0,3207A,68:ab:a9:fe:53:25,172.20.200.181,,,iCX,3207A,MVM783,3207,no,
3207B,68:ab:a9:f8:d8:61,68:ab:a9:f8:d8:62,2026-08-07 09:12:18,0.0,3207B,68:ab:a9:f8:d8:62,172.20.200.180,,,iCX,3207B,MVM783,3207,no,
3207B,68:ab:a9:f8:e0:2e,68:ab:a9:f8:e0:2f,2026-08-07 09:09:08,0.0,3207B,68:ab:a9:f8:e0:2f,172.20.200.183,,,iCX,3207B,MVM783,3207,no,
,,,,,3207A,0e:e5:27:45:2c:19,172.20.192.129,Stale MAC (randomized),,mDNS only,3207A,MVM783,3207,no,
,,,,,3207A,22:f8:b2:3c:9f:dd,172.20.215.246,Stale MAC (randomized),,mDNS only,3207A,MVM783,3207,no,
,,,,,3207B,a6:b0:e7:38:14:bb,172.20.212.156,Stale MAC (randomized),,mDNS only,3207B,MVM783,3207,no,
3208A,68:ab:a9:fc:57:07,68:ab:a9:fc:57:08,2026-08-07 09:08:45,0.0,3208A,68:ab:a9:fc:57:08,172.20.193.55,,,iCX,3208A,MVM783,3208,no,
3208A,68:ab:a9:f9:4d:ff,68:ab:a9:f9:4e:00,2026-08-07 09:07:18,0.01,3208A,68:ab:a9:f9:4e:00,172.20.192.117,,,iCX,3208A,MVM783,3208,no,
3208B,68:ab:a9:fc:7e:74,68:ab:a9:fc:7e:75,2026-08-07 09:12:43,0.0,3208B,68:ab:a9:fc:7e:75,172.20.193.51,,,iCX,3208B,MVM783,3208,no,
3208B,68:ab:a9:fc:7d:e9,68:ab:a9:fc:7d:ea,2026-08-07 09:03:19,0.01,3208B,68:ab:a9:fc:7d:ea,172.20.193.50,,,iCX,3208B,MVM783,3208,no,
,,,,,3208A,ca:26:fc:93:eb:a0,172.20.217.77,Stale MAC (randomized),,mDNS only,3208A,MVM783,3208,no,
,,,,,3208A,ce:47:fa:72:c3:f8,172.20.216.187,Stale MAC (randomized),,mDNS only,3208A,MVM783,3208,no,
,,,,,3208B,a6:42:7d:3a:28:86,172.20.213.239,Stale MAC (randomized),,mDNS only,3208B,MVM783,3208,no,
3209A,68:ab:a9:fb:ff:b4,68:ab:a9:fb:ff:b5,2026-08-07 09:10:09,0.0,3209A,68:ab:a9:fb:ff:b5,172.20.217.169,,,iCX,3209A,MVM783,3209,no,
3209A,68:ab:a9:fc:7d:83,68:ab:a9:fc:7d:84,2026-08-07 09:02:34,0.01,3209A,68:ab:a9:fc:7d:84,172.20.193.67,,,iCX,3209A,MVM783,3209,no,
3209B,68:ab:a9:fc:01:fd,68:ab:a9:fc:01:fe,2026-08-07 09:14:12,0.0,3209B,68:ab:a9:fc:01:fe,172.20.218.250,,,iCX,3209B,MVM783,3209,no,
3209B,68:ab:a9:fc:08:25,68:ab:a9:fc:08:26,2026-08-07 09:04:06,0.01,3209B,68:ab:a9:fc:08:26,172.20.218.188,,,iCX,3209B,MVM783,3209,no,
,,,,,3209A,72:7c:68:12:37:73,172.20.213.111,Stale MAC (randomized),,mDNS only,3209A,MVM783,3209,no,
,,,,,3209A,12:a1:d6:78:a3:02,172.20.216.106,Stale MAC (randomized),,mDNS only,3209A,MVM783,3209,no,
,,,,,3209B,02:e5:a0:0f:70:f6,172.20.194.218,Stale MAC (randomized),,mDNS only,3209B,MVM783,3209,no,
,,,,,3209B,1a:4b:9e:84:e0:4d,172.20.209.39,Stale MAC (randomized),,mDNS only,3209B,MVM783,3209,no,
3210A,68:ab:a9:f7:dc:44,68:ab:a9:f7:dc:45,2026-08-07 09:10:53,0.0,3210A,68:ab:a9:f7:dc:45,172.20.220.128,,,iCX,3210A,MVM783,3210,no,
3210A,68:ab:a9:f9:3c:bc,68:ab:a9:f9:3c:bd,2026-08-07 09:09:36,0.0,3210A,68:ab:a9:f9:3c:bd,172.20.193.92,,,iCX,3210A,MVM783,3210,no,
3210B,68:ab:a9:f8:93:f1,68:ab:a9:f8:93:f2,2026-08-07 09:06:20,0.01,3210B,68:ab:a9:f8:93:f2,172.20.221.13,,,iCX,3210B,MVM783,3210,no,
3210B,68:ab:a9:f9:45:ef,68:ab:a9:f9:45:f0,2026-08-07 09:00:39,0.01,3210B,68:ab:a9:f9:45:f0,172.20.220.172,,,iCX,3210B,MVM783,3210,no,
,,,,,3210A,e6:07:46:dd:25:1d,172.20.211.6,Stale MAC (randomized),,mDNS only,3210A,MVM783,3210,no,
,,,,,3210B,86:b0:e5:d3:78:34,172.20.202.246,Stale MAC (randomized),,mDNS only,3210B,MVM783,3210,no,
,,,,,3210B,e6:c7:59:1c:80:57,172.20.210.2,Stale MAC (randomized),,mDNS only,3210B,MVM783,3210,no,
3301A,10:2b:aa:51:4b:48,10:2b:aa:51:4b:49,2026-08-07 09:11:45,0.0,3301A,10:2b:aa:51:4b:49,172.20.218.147,,,iCX,3301A,MVM783,3301,no,
3301A,68:ab:a9:fa:f2:71,68:ab:a9:fa:f2:72,2026-08-07 09:08:09,0.0,3301A,68:ab:a9:fa:f2:72,172.20.209.131,,,iCX,3301A,MVM783,3301,no,
3301B,10:2b:aa:51:55:0b,10:2b:aa:51:55:0c,2026-08-07 09:11:15,0.0,3301B,10:2b:aa:51:55:0c,172.20.204.111,,,iCX,3301B,MVM783,3301,no,
3301B,64:18:df:74:0c:60,64:18:df:74:0c:61,2026-08-07 09:07:35,0.01,3301B,64:18:df:74:0c:61,172.20.200.47,,,iCX,3301B,MVM783,3301,no,
,,,,,3301B,36:e0:99:5d:8f:9c,172.20.207.143,Stale MAC (randomized),,mDNS only,3301B,MVM783,3301,no,
,,,,,3301B,0e:18:18:24:80:5e,172.20.213.127,Stale MAC (randomized),,mDNS only,3301B,MVM783,3301,no,
3302A,64:18:df:74:08:f1,64:18:df:74:08:f2,2026-08-07 09:14:46,0.0,3302A,64:18:df:74:08:f2,172.20.192.215,,,iCX,3302A,MVM783,3302,no,
3302A,68:ab:a9:fb:a2:a4,68:ab:a9:fb:a2:a5,2026-08-07 09:02:28,0.01,3302A,68:ab:a9:fb:a2:a5,172.20.217.123,,,iCX,3302A,MVM783,3302,no,
3302B,64:18:df:73:df:a2,64:18:df:73:df:a3,2026-08-07 09:07:25,0.01,3302B,64:18:df:73:df:a3,172.20.192.219,,,iCX,3302B,MVM783,3302,no,
3302B,64:18:df:74:08:db,64:18:df:74:08:dc,2026-08-07 09:02:50,0.01,3302B,64:18:df:74:08:dc,172.20.222.95,,,iCX,3302B,MVM783,3302,no,
,,,,,3302B,be:2a:6e:27:a4:2e,172.20.211.96,Stale MAC (randomized),,mDNS only,3302B,MVM783,3302,no,
3303A,68:ab:a9:ff:1c:d9,68:ab:a9:ff:1c:da,2026-08-07 09:10:20,0.0,,,,Not in mDNS,,iCX,3303A,MVM783,3303,no,
3303A,10:2b:aa:51:55:11,10:2b:aa:51:55:12,2026-08-07 09:05:15,0.01,3303A,10:2b:aa:51:55:12,172.20.208.36,,,iCX,3303A,MVM783,3303,no,
3303B,10:2b:aa:51:57:bd,10:2b:aa:51:57:be,2026-08-07 09:09:02,0.0,3303B,10:2b:aa:51:57:be,172.20.204.121,,,iCX,3303B,MVM783,3303,no,
3303B,10:2b:aa:51:57:78,10:2b:aa:51:57:79,2026-08-07 09:08:32,0.0,3303B,10:2b:aa:51:57:79,172.20.192.205,,,iCX,3303B,MVM783,3303,no,
,,,,,3303A,36:76:2b:9c:c0:25,172.20.208.69,Stale MAC (randomized),,mDNS only,3303A,MVM783,3303,no,
,,,,,3303A,66:2a:27:5a:87:cc,172.20.208.103,Stale MAC (randomized),,mDNS only,3303A,MVM783,3303,no,
,,,,,3303B,42:14:3c:42:4e:bc,172.20.194.167,Stale MAC (randomized),,mDNS only,3303B,MVM783,3303,no,
3304A,10:2b:aa:51:5b:0e,10:2b:aa:51:5b:0f,2026-08-07 09:08:20,0.0,3304A,10:2b:aa:51:5b:0f,172.20.218.183,,,iCX,3304A,MVM783,3304,no,
3304A,10:2b:aa:51:5a:7b,10:2b:aa:51:5a:7c,2026-08-07 09:00:17,0.01,3304A,10:2b:aa:51:5a:7c,172.20.195.224,,,iCX,3304A,MVM783,3304,no,
3304B,10:2b:aa:51:65:07,10:2b:aa:51:65:08,2026-08-07 09:12:53,0.0,3304B,10:2b:aa:51:65:08,172.20.192.183,,,iCX,3304B,MVM783,3304,no,
3304B,10:2b:aa:51:53:85,10:2b:aa:51:53:86,2026-08-07 09:12:11,0.0,3304B,10:2b:aa:51:53:86,172.20.205.125,,,iCX,3304B,MVM783,3304,no,
,,,,,3304A,36:79:6a:d9:cd:64,172.20.208.175,Stale MAC (randomized),,mDNS only,3304A,MVM783,3304,no,
,,,,,3304B,b2:7a:39:48:92:5f,172.20.199.42,Stale MAC (randomized),,mDNS only,3304B,MVM783,3304,no,
3305A,10:2b:aa:51:56:d9,10:2b:aa:51:56:da,2026-08-07 09:12:47,0.0,3305A,10:2b:aa:51:56:da,172.20.220.36,,,iCX,3305A,MVM783,3305,no,
3305A,10:2b:aa:51:58:62,10:2b:aa:51:58:63,2026-08-07 09:08:51,0.0,3305A,10:2b:aa:51:58:63,172.20.203.59,,,iCX,3305A,MVM783,3305,no,
3305B,10:2b:aa:51:57:87,10:2b:aa:51:57:88,2026-08-07 09:11:52,0.0,3305B,10:2b:aa:51:57:88,172.20.200.115,,,iCX,3305B,MVM783,3305,no,
3305B,10:2b:aa:51:56:82,10:2b:aa:51:56:83,2026-08-07 09:09:24,0.0,3305B,10:2b:aa:51:56:83,172.20.218.222,,,iCX,3305B,MVM783,3305,no,
,,,,,3305A,ee:21:f2:fb:23:6b,172.20.195.110,Stale MAC (randomized),,mDNS only,3305A,MVM783,3305,no,
,,,,,3305A,2e:69:d5:ff:28:94,172.20.199.0,Stale MAC (randomized),,mDNS only,3305A,MVM783,3305,no,
,,,,,3305B,ae:98:24:76:57:58,172.20.207.233,Stale MAC (randomized),,mDNS only,3305B,MVM783,3305,no,
,,,,,3305B,3e:dc:5f:91:3d:52,172.20.208.102,Stale MAC (randomized),,mDNS only,3305B,MVM783,3305,no,
3306A,10:2b:aa:51:fd:8d,10:2b:aa:51:fd:8e,2026-08-07 09:08:37,0.0,3306A,10:2b:aa:51:fd:8e,172.20.198.238,,,iCX,3306A,MVM783,3306,no,
3306A,10:2b:aa:51:f4:09,10:2b:aa:51:f4:0a,2026-08-07 09:08:21,0.0,3306A,10:2b:aa:51:f4:0a,172.20.198.239,,,iCX,3306A,MVM783,3306,no,
3306B,10:2b:aa:51:fd:90,10:2b:aa:51:fd:91,2026-08-07 09:12:28,0.0,3306B,10:2b:aa:51:fd:91,172.20.210.175,,,iCX,3306B,MVM783,3306,no,
3306B,10:2b:aa:51:fd:b4,10:2b:aa:51:fd:b5,2026-08-07 09:04:38,0.01,3306B,10:2b:aa:51:fd:b5,172.20.199.166,,,iCX,3306B,MVM783,3306,no,
,,,,,3306B,62:52:3a:ad:ff:92,172.20.196.205,Stale MAC (randomized),,mDNS only,3306B,MVM783,3306,no,
,,,,,3306B,86:38:fa:d6:67:a8,172.20.201.160,Stale MAC (randomized),,mDNS only,3306B,MVM783,3306,no,
3307A,10:2b:aa:51:57:6c,10:2b:aa:51:57:6d,2026-08-07 09:10:09,0.0,3307A,10:2b:aa:51:57:6d,172.20.192.179,,,iCX,3307A,MVM783,3307,no,
3307A,10:2b:aa:51:58:68,10:2b:aa:51:58:69,2026-08-07 09:07:19,0.01,3307A,10:2b:aa:51:58:69,172.20.192.178,,,iCX,3307A,MVM783,3307,no,
3307B,64:18:df:73:f4:8d,64:18:df:73:f4:8e,2026-08-07 09:10:55,0.0,3307B,64:18:df:73:f4:8e,172.20.203.199,,,iCX,3307B,MVM783,3307,no,
3307B,64:18:df:73:f4:f6,64:18:df:73:f4:f7,2026-08-07 09:10:28,0.0,3307B,64:18:df:73:f4:f7,172.20.209.81,,,iCX,3307B,MVM783,3307,no,
,,,,,3307A,1e:f2:23:5e:4f:76,172.20.215.97,Stale MAC (randomized),,mDNS only,3307A,MVM783,3307,no,
,,,,,3307B,f6:3e:3e:25:10:da,172.20.200.210,Stale MAC (randomized),,mDNS only,3307B,MVM783,3307,no,
,,,,,3307B,fe:72:bb:0f:5b:24,172.20.200.219,Stale MAC (randomized),,mDNS only,3307B,MVM783,3307,no,
3308A,10:2b:aa:51:f4:18,10:2b:aa:51:f4:19,2026-08-07 09:09:40,0.0,3308A,10:2b:aa:51:f4:19,172.20.192.41,,,iCX,3308A,MVM783,3308,no,
3308A,10:2b:aa:51:fd:6c,10:2b:aa:51:fd:6d,2026-08-07 09:07:09,0.01,3308A,10:2b:aa:51:fd:6d,172.20.192.154,,,iCX,3308A,MVM783,3308,no,
3308B,10:2b:aa:51:64:1a,10:2b:aa:51:64:1b,2026-08-07 09:11:07,0.0,3308B,10:2b:aa:51:64:1b,172.20.192.176,,,iCX,3308B,MVM783,3308,no,
3308B,10:2b:aa:51:6a:02,10:2b:aa:51:6a:03,2026-08-07 09:02:31,0.01,3308B,10:2b:aa:51:6a:03,172.20.197.194,,,iCX,3308B,MVM783,3308,no,
,,,,,3308B,16:c2:9d:c5:c4:b3,172.20.217.138,Stale MAC (randomized),,mDNS only,3308B,MVM783,3308,no,
3309A,64:18:df:74:07:5f,64:18:df:74:07:60,2026-08-07 09:14:36,0.0,3309A,64:18:df:74:07:60,172.20.212.2,,,iCX,3309A,MVM783,3309,no,
3309A,64:18:df:73:bf:af,64:18:df:73:bf:b0,2026-08-07 09:12:38,0.0,,,,Not in mDNS,,iCX,3309A,MVM783,3309,no,
3309B,10:2b:aa:51:58:2f,10:2b:aa:51:58:30,2026-08-07 09:03:21,0.01,3309B,10:2b:aa:51:58:30,172.20.221.85,,,iCX,3309B,MVM783,3309,no,
3309B,10:2b:aa:51:58:44,10:2b:aa:51:58:45,2026-08-07 09:02:18,0.01,3309B,10:2b:aa:51:58:45,172.20.208.164,,,iCX,3309B,MVM783,3309,no,
,,,,,3309A,da:0f:54:79:8d:88,172.20.208.157,Stale MAC (randomized),,mDNS only,3309A,MVM783,3309,no,
,,,,,3309B,66:fd:18:1c:27:1e,172.20.202.183,Stale MAC (randomized),,mDNS only,3309B,MVM783,3309,no,
3310A,10:2b:aa:51:58:71,10:2b:aa:51:58:72,2026-08-07 09:06:18,0.01,3310A,10:2b:aa:51:58:72,172.20.192.160,,,iCX,3310A,MVM783,3310,no,
3310A,10:2b:aa:51:57:8a,10:2b:aa:51:57:8b,2026-08-07 09:01:33,0.01,3310A,10:2b:aa:51:57:8b,172.20.192.163,,,iCX,3310A,MVM783,3310,no,
3310B,10:2b:aa:51:58:b3,10:2b:aa:51:58:b4,2026-08-07 09:07:26,0.01,3310B,10:2b:aa:51:58:b4,172.20.192.157,,,iCX,3310B,MVM783,3310,no,
3310B,10:2b:aa:51:64:80,10:2b:aa:51:64:81,2026-08-07 09:03:40,0.01,3310B,10:2b:aa:51:64:81,172.20.192.158,,,iCX,3310B,MVM783,3310,no,
,,,,,3310A,92:2c:8d:a4:4c:69,172.20.216.95,Stale MAC (randomized),,mDNS only,3310A,MVM783,3310,no,
3401A,10:2b:aa:51:65:f1,10:2b:aa:51:65:f2,2026-08-07 09:11:22,0.0,3401A,10:2b:aa:51:65:f2,172.20.193.91,,,iCX,3401A,MVM783,3401,no,
3401A,10:2b:aa:51:63:ba,10:2b:aa:51:63:bb,2026-08-07 09:01:47,0.01,3401A,10:2b:aa:51:63:bb,172.20.219.146,,,iCX,3401A,MVM783,3401,no,
3401B,10:2b:aa:51:67:aa,10:2b:aa:51:67:ab,2026-08-07 09:12:18,0.0,3401B,10:2b:aa:51:67:ab,172.20.193.90,,,iCX,3401B,MVM783,3401,no,
3401B,10:2b:aa:51:68:0d,10:2b:aa:51:68:0e,2026-08-07 09:10:19,0.0,3401B,10:2b:aa:51:68:0e,172.20.223.246,,,iCX,3401B,MVM783,3401,no,
,,,,,3401A,6e:a2:c3:86:12:43,172.20.210.89,Stale MAC (randomized),,mDNS only,3401A,MVM783,3401,no,
,,,,,3401A,5a:60:84:3a:b8:96,172.20.214.94,Stale MAC (randomized),,mDNS only,3401A,MVM783,3401,no,
,,,,,3401B,d2:2c:14:f1:81:dd,172.20.204.221,Stale MAC (randomized),,mDNS only,3401B,MVM783,3401,no,
3402A,10:2b:aa:51:67:bf,10:2b:aa:51:67:c0,2026-08-07 09:05:22,0.01,3402A,10:2b:aa:51:67:c0,172.20.192.59,,,iCX,3402A,MVM783,3402,no,
3402A,10:2b:aa:51:68:01,10:2b:aa:51:68:02,2026-08-07 09:02:44,0.01,3402A,10:2b:aa:51:68:02,172.20.223.108,,,iCX,3402A,MVM783,3402,no,
3402B,10:2b:aa:51:67:7a,10:2b:aa:51:67:7b,2026-08-07 09:07:23,0.01,3402B,10:2b:aa:51:67:7b,172.20.193.47,,,iCX,3402B,MVM783,3402,no,
3402B,10:2b:aa:51:67:98,10:2b:aa:51:67:99,2026-08-07 09:03:52,0.01,3402B,10:2b:aa:51:67:99,172.20.219.78,,,iCX,3402B,MVM783,3402,no,
,,,,,3402A,c2:6b:51:23:d9:2a,172.20.211.198,Stale MAC (randomized),,mDNS only,3402A,MVM783,3402,no,
,,,,,3402B,0e:f5:bb:10:35:1f,172.20.193.12,Stale MAC (randomized),,mDNS only,3402B,MVM783,3402,no,
3403A,64:18:df:74:96:d4,64:18:df:74:96:d5,2026-08-07 09:08:28,0.0,,,,Not in mDNS,,iCX,3403A,MVM783,3403,no,
3403A,64:18:df:74:91:0a,64:18:df:74:91:0b,2026-08-07 09:03:22,0.01,3403A,64:18:df:74:91:0b,172.20.217.44,,,iCX,3403A,MVM783,3403,no,
3403B,10:2b:aa:51:67:89,10:2b:aa:51:67:8a,2026-08-07 09:12:50,0.0,3403B,10:2b:aa:51:67:8a,172.20.201.24,,,iCX,3403B,MVM783,3403,no,
3403B,10:2b:aa:51:67:ce,10:2b:aa:51:67:cf,2026-08-07 09:04:21,0.01,3403B,10:2b:aa:51:67:cf,172.20.220.180,,,iCX,3403B,MVM783,3403,no,
,,,,,3403B,12:c9:46:ca:26:84,172.20.199.79,Stale MAC (randomized),,mDNS only,3403B,MVM783,3403,no,
3404A,10:2b:aa:51:65:31,10:2b:aa:51:65:32,2026-08-07 09:10:18,0.0,3404A,10:2b:aa:51:65:32,172.20.193.62,,,iCX,3404A,MVM783,3404,no,
