icx_label,ethernet_mac,wifi_mac_derived,last_seen_icx,days_since,mdns_label,mdns_mac,mdns_ip,mdns_note,labeling_correction,source,room,site,lockout,reswept,reswept_at
1006B@L,10:2b:aa:50:30:e8,10:2b:aa:50:30:e9,2026-08-07 09:05:00,0.01,1006B@L,10:2b:aa:50:30:e9,192.168.203.159,,,iCX,1006B,MVM784,1006,yes,2026-08-01T19:32:35.497Z
1007A@B,10:2b:aa:50:36:b8,10:2b:aa:50:36:b9,2026-08-07 09:07:19,0.01,1007A@B,10:2b:aa:50:36:b9,192.168.200.136,,,iCX,1007A,MVM784,1007,yes,2026-07-30T16:53:16.978Z
1007A@L,10:2b:aa:50:36:7c,10:2b:aa:50:36:7d,2026-08-07 09:02:03,0.01,1007A@L,10:2b:aa:50:36:7d,192.168.201.238,,,iCX,1007A,MVM784,1007,yes,2026-07-30T16:53:16.978Z
1007B@B,10:2b:aa:50:2d:fd,10:2b:aa:50:2d:fe,2026-08-07 09:14:01,0.0,1007B@B,10:2b:aa:50:2d:fe,192.168.201.51,,,iCX,1007B,MVM784,1007,yes,2026-07-30T16:51:36.950Z
1007B@L,10:2b:aa:50:3a:78,10:2b:aa:50:3a:79,2026-08-07 09:04:42,0.01,1007B@L,10:2b:aa:50:3a:79,192.168.203.251,,,iCX,1007B,MVM784,1007,yes,2026-07-30T16:51:36.950Z
1008A@B,10:2b:aa:50:2c:50,10:2b:aa:50:2c:51,2026-08-07 09:14:08,0.0,,,,Not in mDNS,,iCX,1008A,MVM784,1008,yes,2026-07-31T17:27:05.050Z
1008A@L,10:2b:aa:50:2d:d6,10:2b:aa:50:2d:d7,2026-08-07 09:04:27,0.01,1008A@L,10:2b:aa:50:2d:d7,192.168.201.82,,,iCX,1008A,MVM784,1008,yes,2026-07-31T17:27:05.050Z
1008B@B,10:2b:aa:50:37:db,10:2b:aa:50:37:dc,2026-08-07 09:02:20,0.01,1008B@B,10:2b:aa:50:37:dc,192.168.200.91,,,iCX,1008B,MVM784,1008,yes,2026-07-31T17:24:26.446Z
1008B@L,10:2b:aa:50:36:4c,10:2b:aa:50:36:4d,2026-08-07 09:00:18,0.01,,,,Not in mDNS,,iCX,1008B,MVM784,1008,yes,2026-07-31T17:24:26.446Z
,,,,,1008B,2e:8c:06:14:33:10,192.168.203.116,Stale MAC (randomized),,mDNS only,1008B,MVM784,1008,yes,2026-07-31T17:24:26.446Z
1009A@B,10:2b:aa:50:34:ba,10:2b:aa:50:34:bb,2026-08-07 09:08:15,0.0,1009A@B,10:2b:aa:50:34:bb,192.168.202.107,,,iCX,1009A,MVM784,1009,yes,2026-08-01T19:22:26.202Z
1009A@L,10:2b:aa:4f:fc:f8,10:2b:aa:4f:fc:f9,2026-08-07 09:08:00,0.0,1009A@L,10:2b:aa:4f:fc:f9,192.168.201.81,,,iCX,1009A,MVM784,1009,yes,2026-08-01T19:22:26.202Z
1009B@B,10:2b:aa:50:31:cf,10:2b:aa:50:31:d0,2026-08-07 09:11:19,0.0,1009B@B,10:2b:aa:50:31:d0,192.168.200.48,,,iCX,1009B,MVM784,1009,yes,2026-07-30T16:58:00.048Z
1009B@L,10:2b:aa:50:31:bd,10:2b:aa:50:31:be,2026-08-07 09:09:11,0.0,1009B@L,10:2b:aa:50:31:be,192.168.203.240,,,iCX,1009B,MVM784,1009,yes,2026-07-30T16:58:00.048Z
,,,,,1009B,62:cd:e9:c2:5c:88,192.168.201.222,Stale MAC (randomized),,mDNS only,1009B,MVM784,1009,yes,2026-07-30T16:58:00.048Z
101A@B,10:2b:aa:50:3d:ab,10:2b:aa:50:3d:ac,2026-08-07 09:06:49,0.01,101A@B,10:2b:aa:50:3d:ac,192.168.203.213,,,iCX,101A,MVM784,101,yes,2026-07-31T20:46:27.767Z
101A@L,10:2b:aa:50:3d:84,10:2b:aa:50:3d:85,2026-08-07 09:03:29,0.01,101A@L,10:2b:aa:50:3d:85,192.168.202.156,,,iCX,101A,MVM784,101,yes,2026-07-31T20:46:27.767Z
101B@B,10:2b:aa:50:3d:db,10:2b:aa:50:3d:dc,2026-08-07 09:07:06,0.01,101B@B,10:2b:aa:50:3d:dc,192.168.202.72,,,iCX,101B,MVM784,101,yes,2026-07-30T16:02:01.393Z
101B@L,10:2b:aa:50:3c:85,10:2b:aa:50:3c:86,2026-08-07 09:09:16,0.0,101B@L,10:2b:aa:50:3c:86,192.168.201.135,,,iCX,101B,MVM784,101,yes,2026-07-30T16:02:01.393Z
1010A@B,10:2b:aa:50:3a:4e,10:2b:aa:50:3a:4f,2026-08-07 09:01:58,0.01,1010A@B,10:2b:aa:50:3a:4f,192.168.201.29,,,iCX,1010A,MVM784,1010,yes,2026-07-30T16:56:47.151Z
1010A@L,10:2b:aa:50:30:43,10:2b:aa:50:30:44,2026-08-07 09:01:14,0.01,1010A@L,10:2b:aa:50:30:44,192.168.203.158,,,iCX,1010A,MVM784,1010,yes,2026-07-30T16:56:47.151Z
1010B@B,10:2b:aa:50:2d:3d,10:2b:aa:50:2d:3e,2026-08-07 09:00:41,0.01,1010B@B,10:2b:aa:50:2d:3e,192.168.200.41,,,iCX,1010B,MVM784,1010,no,
1010B@L,10:2b:aa:50:2d:9a,10:2b:aa:50:2d:9b,2026-08-07 09:00:27,0.01,1010B@L,10:2b:aa:50:2d:9b,192.168.201.69,,,iCX,1010B,MVM784,1010,no,
,,,,,1010A,f6:21:34:f8:19:b2,192.168.203.62,Stale MAC (randomized),,mDNS only,1010A,MVM784,1010,yes,2026-07-30T16:56:47.151Z
1011A@B,10:2b:aa:50:2e:48,10:2b:aa:50:2e:49,2026-08-07 09:10:47,0.0,1011A@B,10:2b:aa:50:2e:49,192.168.203.161,,,iCX,1011A,MVM784,1011,yes,2026-07-30T17:02:29.693Z
1011A@L,10:2b:aa:50:8d:10,10:2b:aa:50:8d:11,2026-08-07 09:05:10,0.01,1011A@L,10:2b:aa:50:8d:11,192.168.203.24,,,iCX,1011A,MVM784,1011,yes,2026-07-30T17:02:29.693Z
1011B@B,10:2b:aa:50:38:44,10:2b:aa:50:38:45,2026-08-07 09:08:34,0.0,1011B@B,10:2b:aa:50:38:45,192.168.202.48,,,iCX,1011B,MVM784,1011,yes,2026-07-30T17:00:41.481Z
1011B@L,10:2b:aa:50:3f:4f,10:2b:aa:50:3f:50,2026-08-07 09:05:53,0.01,1011B@L,10:2b:aa:50:3f:50,192.168.203.146,,,iCX,1011B,MVM784,1011,yes,2026-07-30T17:00:41.481Z
1012A@B,10:2b:aa:51:ea:58,10:2b:aa:51:ea:59,2026-08-07 09:08:47,0.0,1012A@B,10:2b:aa:51:ea:59,192.168.203.198,,,iCX,1012A,MVM784,1012,yes,2026-08-02T17:28:27.404Z
1012A@L,10:2b:aa:51:ea:82,10:2b:aa:51:ea:83,2026-08-07 09:14:11,0.0,1012A@L,10:2b:aa:51:ea:83,192.168.203.165,,,iCX,1012A,MVM784,1012,yes,2026-08-02T17:28:27.404Z
1012B@B,10:2b:aa:50:32:aa,10:2b:aa:50:32:ab,2026-08-07 09:06:25,0.01,1012B@B,10:2b:aa:50:32:ab,192.168.200.81,,,iCX,1012B,MVM784,1012,yes,2026-07-30T17:05:08.671Z
1012B@L,10:2b:aa:50:38:38,10:2b:aa:50:38:39,2026-08-07 09:00:04,0.01,1012B@L,10:2b:aa:50:38:39,192.168.200.105,,,iCX,1012B,MVM784,1012,yes,2026-07-30T17:05:08.671Z
103A@B,10:2b:aa:50:3d:1e,10:2b:aa:50:3d:1f,2026-08-07 09:05:12,0.01,,,,Not in mDNS,,iCX,103A,MVM784,103,yes,2026-07-30T22:28:26.245Z
103A@L,10:2b:aa:50:3c:6d,10:2b:aa:50:3c:6e,2026-08-07 09:14:10,0.0,103A@L,10:2b:aa:50:3c:6e,192.168.202.233,,,iCX,103A,MVM784,103,yes,2026-07-30T22:28:26.245Z
103B@B,10:2b:aa:50:34:db,10:2b:aa:50:34:dc,2026-08-07 09:01:52,0.01,,,,Not in mDNS,,iCX,103B,MVM784,103,yes,2026-07-30T22:29:51.681Z
103B@L,10:2b:aa:50:3b:ec,10:2b:aa:50:3b:ed,2026-08-07 09:10:00,0.0,103B@L,10:2b:aa:50:3b:ed,192.168.203.206,,,iCX,103B,MVM784,103,yes,2026-07-30T22:29:51.681Z
104A@B,10:2b:aa:50:3d:9f,10:2b:aa:50:3d:a0,2026-08-07 09:06:13,0.01,104A@B,10:2b:aa:50:3d:a0,192.168.203.118,,,iCX,104A,MVM784,104,yes,2026-07-31T20:49:43.412Z
