mac,room,ip,stb_id,mac_is_randomized
38:e1:f4:49:84:97,2055@B1,192.168.212.244,473756,False
38:e1:f4:48:dd:ae,1013@B1,192.168.212.196,473757,False
38:e1:f4:48:82:61,2024@L,192.168.213.241,473758,False
38:e1:f4:48:8a:c2,2088,192.168.212.198,473759,False
38:e1:f4:48:80:24,2058@L,192.168.212.215,473760,False
38:e1:f4:48:94:16,1011@B1,192.168.212.132,473761,False
86:bb:bb:6b:34:d1,2071,192.168.213.173,473762,True
a2:22:17:da:34:52,1085 B1,192.168.212.220,473763,True
3a:ad:6d:1c:54:ed,1052,192.168.212.97,473764,True
be:21:cc:01:f1:28,1016,192.168.212.82,473765,True
62:41:af:c3:d2:8d,2061,192.168.212.13,473767,True
38:e1:f4:48:db:46,1014,192.168.213.118,473768,False
f2:2b:ff:f2:37:45,2048,192.168.213.49,473769,True
38:e1:f4:48:83:25,2006@L,192.168.212.200,473770,False
8c:9a:8f:d9:f0:fb,2045,192.168.213.247,473771,False
3e:25:7a:ca:4a:cc,1019,192.168.213.14,473772,True
38:e1:f4:48:90:86,2066,192.168.213.117,473773,False
38:e1:f4:48:91:40,2070,192.168.212.206,473774,False
56:9f:3a:d5:de:ec,1049,192.168.212.125,473775,True
86:02:5d:42:3a:b6,1076,192.168.213.190,473776,True
32:89:c5:ac:65:f5,2008,192.168.212.114,473777,True
f6:d5:e2:bd:e9:5a,1003 B2,192.168.212.14,473778,True
26:9f:95:c3:3b:75,1030,192.168.212.27,473779,True
8c:9a:8f:d9:f3:7e,2050@L,192.168.213.165,473780,False
38:e1:f4:48:7b:24,2060,192.168.213.208,473781,False
38:e1:f4:48:db:58,1063,192.168.212.248,473783,False
f6:29:a2:dd:17:00,2059,192.168.213.85,473785,True
12:10:86:5a:1d:7d,1056,192.168.213.26,473786,True
38:e1:f4:48:93:e6,1048,192.168.213.180,473787,False
38:e1:f4:48:5d:10,2025@B2,192.168.213.210,473788,False
1a:77:fc:4a:58:c2,1075,192.168.213.17,473789,True
38:e1:f4:48:db:18,1084,192.168.213.55,473790,False
18:0c:7a:8a:86:0c,2013,192.168.213.29,473791,False
18:0c:7a:8a:85:ca,1077,192.168.213.63,473792,False
8c:9a:8f:d9:ec:81,1052,192.168.213.151,473793,False
18:0c:7a:8a:89:12,1022,192.168.213.249,473794,False
38:e1:f4:48:7c:24,2062@L,192.168.213.169,473795,False
18:0c:7a:8a:86:cf,1037,192.168.213.111,473796,False
8c:9a:8f:d9:ec:dd,1055@L,192.168.213.35,473797,False
38:e1:f4:48:90:b4,2066,192.168.213.142,473798,False
46:eb:81:05:a8:3e,2052,192.168.212.188,473799,True
ee:2a:29:38:c9:36,2024,192.168.212.23,473800,True
38:e1:f4:49:84:b5,2052@B1,192.168.213.177,473801,False
e2:f7:6b:88:fb:b3,2087,192.168.213.167,473802,True
8c:9a:8f:d9:ec:4d,1053@B2,192.168.213.197,473804,False
38:e1:f4:48:92:8a,1031,192.168.213.2,473806,False
38:e1:f4:48:73:1e,2027,192.168.212.214,473807,False
18:0c:7a:8a:86:33,2065@B2,192.168.212.131,473808,False
8c:9a:8f:d9:f5:5e,1,192.168.212.238,473809,False
38:e1:f4:48:92:36,1030@L,192.168.212.38,473810,False
18:0c:7a:8a:89:84,1025@B2,192.168.213.128,473811,False
8c:9a:8f:d9:ec:2a,1021@L,192.168.213.108,473812,False
18:0c:7a:8a:89:d5,1057,192.168.213.202,473813,False
86:91:f9:f8:e5:45,2026,192.168.213.184,473814,True
38:e1:f4:48:85:d3,2074@B2,192.168.213.194,473815,False
18:0c:7a:8a:75:ef,1027@B2,192.168.213.183,473816,False
38:e1:f4:48:db:67,2032@B1,192.168.213.96,473817,False
8c:9a:8f:d9:ec:53,1055@B1,192.168.213.77,473818,False
38:e1:f4:49:84:d6,2049@L,192.168.213.158,473819,False
38:e1:f4:48:8c:a8,2081@B1,192.168.213.131,473820,False
38:e1:f4:48:db:70,1016,192.168.213.3,473821,False
86:77:a1:3c:ba:50,2084,192.168.212.223,473822,True
26:d0:96:58:c8:e3,2033,192.168.213.39,473823,True
38:e1:f4:48:db:bb,1070,192.168.213.72,473824,False
82:c5:c0:f1:bc:54,1001,192.168.212.84,473825,True
38:e1:f4:48:72:e7,2029,192.168.213.159,473826,False
8c:9a:8f:d9:f1:43,2039,192.168.212.161,473827,False
38:e1:f4:48:83:fb,1084@B1,192.168.212.156,473829,False
8c:9a:8f:d9:f5:d2,16,192.168.213.18,473830,False
66:87:b1:25:53:7d,1083,192.168.212.20,473831,True
52:75:92:66:85:60,2035,192.168.212.109,473832,True
38:e1:f4:48:85:27,1063,192.168.212.18,473833,False
ca:1a:53:b0:a4:94,1076,192.168.213.178,473834,True
16:a3:5b:5f:66:81,2011,192.168.213.50,473835,True
18:0c:7a:8a:7a:c3,1027@L,192.168.213.150,473836,False
ba:e1:31:b6:4c:ca,2010,192.168.213.237,473837,True
a6:74:6f:58:37:c8,2003,192.168.213.196,473838,True
38:e1:f4:48:8d:0d,1002,192.168.213.101,473839,False
f2:6e:96:8a:22:d6,2082,192.168.212.167,473840,True
38:e1:f4:48:82:dd,2003,192.168.212.209,473842,False
38:e1:f4:48:8b:83,1004,192.168.212.166,473843,False
38:e1:f4:48:80:aa,2009@B1,192.168.212.142,473844,False
7a:9f:6f:83:a2:0d,1010,192.168.213.244,473845,True
52:d9:d1:ad:5c:6a,2033,192.168.213.40,473846,True
62:ee:00:08:f8:63,4,192.168.213.206,473847,True
6e:3c:bf:d0:20:82,2003,192.168.212.175,473848,True
38:e1:f4:48:db:0c,1088@B2,192.168.213.222,473850,False
86:46:fa:68:44:e4,1056,192.168.213.227,473852,True
38:e1:f4:48:8b:5f,2073@L,192.168.212.105,473853,False
8e:dd:03:e6:a5:65,2050,192.168.213.87,473854,True
a6:41:3b:5a:f2:11,2051,192.168.213.52,473855,True
7a:73:cc:39:b4:42,2065,192.168.213.36,473856,True
5a:29:e4:c6:61:4d,2002@L,192.168.212.78,473857,True
0a:33:62:7e:32:77,2079,192.168.213.20,473858,True
18:0c:7a:8a:77:bd,1027,192.168.212.34,473859,False
18:0c:7a:8a:86:51,1009,192.168.212.100,473860,False
18:0c:7a:8a:8a:4d,1058,192.168.213.236,473861,False
18:0c:7a:8a:89:78,1009,192.168.213.80,473862,False
38:e1:f4:48:62:bc,2015,192.168.212.242,473863,False
18:0c:7a:8a:7b:fb,1013@L,192.168.212.62,473865,False
02:41:7e:4b:9e:b0,1043,192.168.212.226,473866,True
18:0c:7a:8a:85:5e,1079@L,192.168.212.32,473867,False
d6:88:2f:65:e6:d0,2075,192.168.213.186,473868,True
06:e6:b0:47:f9:3d,1054,192.168.213.157,473869,True
38:e1:f4:47:62:9a,2030@B2,192.168.212.25,473870,False
56:5b:1a:bf:00:2e,1002,192.168.213.217,473871,True
aa:f7:35:72:b7:bb,1075,192.168.212.28,473872,True
02:7d:75:eb:eb:43,1037,192.168.213.57,473873,True
18:0c:7a:8a:89:bd,1024,192.168.212.237,473874,False
be:0e:5d:4e:49:84,2074,192.168.212.217,473875,True
0e:bb:40:90:09:f8,2010 B1,192.168.212.159,473876,True
16:5c:0b:ab:61:50,1059,192.168.212.15,473878,True
18:0c:7a:8a:85:f4,1080@B1,192.168.213.11,473879,False
38:e1:f4:48:db:c4,1070,192.168.212.243,473880,False
38:e1:f4:49:84:c4,2053@B1,192.168.212.178,473881,False
38:e1:f4:48:db:8b,1017,192.168.212.55,473882,False
18:0c:7a:8a:85:01,1040@B1,192.168.213.192,473885,False
8c:9a:8f:d9:f4:de,1045@L,192.168.213.61,473886,False
38:e1:f4:48:94:37,1043,192.168.213.106,473887,False
38:e1:f4:48:db:d6,1074@B2,192.168.213.89,473888,False
38:e1:f4:48:db:c1,1074,192.168.213.189,473889,False
38:e1:f4:48:db:9a,1072,192.168.213.121,473890,False
36:df:2c:a4:95:c3,2062,192.168.212.195,473891,True
18:0c:7a:8a:8a:e3,15,192.168.212.153,473892,False
2e:0e:7e:2f:dc:c4,2081,192.168.212.177,473894,True
f2:9e:ef:62:7a:37,1018,192.168.212.128,473895,True
38:e1:f4:48:93:ef,1047,192.168.213.175,473896,False
38:e1:f4:48:92:99,1011,192.168.213.138,473899,False
ee:ee:63:b7:92:52,1048,192.168.213.115,473900,True
2a:f1:70:15:53:24,1085,192.168.213.233,473901,True
3e:d8:be:06:91:fd,1028,192.168.213.188,473902,True
38:e1:f4:48:8c:6d,2080@B1,192.168.213.144,473904,False
38:e1:f4:47:65:bb,2030@B1,192.168.213.48,473905,False
ce:e1:ec:e2:23:60,2054,192.168.213.37,473906,True
38:e1:f4:48:db:43,2019@B1,192.168.212.12,473907,False
38:e1:f4:48:93:da,1047,192.168.213.225,473909,False
38:e1:f4:48:87:c5,2077,192.168.213.109,473910,False
38:e1:f4:48:dd:8d,1008,192.168.213.219,473911,False
ce:f9:25:b3:a4:5c,1017,192.168.212.66,473912,True
d6:60:42:04:64:3b,1046,192.168.213.198,473914,True
8c:9a:8f:d9:ed:0a,2034@B2,192.168.213.153,473915,False
38:e1:f4:48:92:42,1031,192.168.212.29,473916,False
8c:9a:8f:d9:eb:d9,1077,192.168.213.133,473917,False
8c:9a:8f:d9:ec:67,1050,192.168.213.139,473918,False
38:e1:f4:48:93:ec,1025@B1,192.168.212.234,473919,False
18:0c:7a:8a:8a:dd,1085@B1,192.168.213.213,473920,False
38:e1:f4:48:80:6f,2058@B1,192.168.212.139,473922,False
aa:07:8c:c0:fc:29,2037,192.168.212.251,473923,True
38:e1:f4:48:8e:36,1003@B2,192.168.213.92,473924,False
42:ef:64:22:a2:37,1042,192.168.213.238,473925,True
38:e1:f4:48:81:56,2028,192.168.213.71,473926,False
18:0c:7a:8a:78:ec,1010@L,192.168.213.119,473927,False
38:e1:f4:48:d7:79,1088@L,192.168.212.172,473928,False
da:6b:53:ff:73:ef,2008,192.168.212.17,473929,True
02:46:5d:df:f0:3b,2079,192.168.212.124,473930,True
aa:87:c7:44:5d:f8,1066,192.168.213.181,473931,True
38:e1:f4:48:90:44,2070,192.168.213.191,473932,False
ca:6c:ac:40:2d:9d,2014,192.168.213.81,473933,True
38:e1:f4:48:83:d2,1061,192.168.213.104,473934,False
82:34:55:8d:7a:c2,2031,192.168.212.41,473935,True
38:e1:f4:48:db:24,2022,192.168.213.67,473936,False
38:e1:f4:48:db:6d,2036@B1,192.168.213.231,473937,False
38:e1:f4:48:92:a8,1032@L,192.168.212.162,473939,False
92:22:f3:d3:63:60,1047,192.168.213.215,473940,True
38:e1:f4:48:93:e9,1012@B1,192.168.212.165,473941,False
18:0c:7a:8a:89:60,1022,192.168.212.224,473942,False
8c:9a:8f:d9:f3:46,2044,192.168.212.205,473943,False
8c:9a:8f:d9:ec:8d,2032@B2,192.168.213.134,473944,False
38:e1:f4:48:db:9d,1018,192.168.213.65,473945,False
02:50:43:4a:55:97,2077,192.168.213.62,473946,True
ea:fe:e3:7f:3f:92,2056,192.168.213.209,473947,True
0e:a9:f3:f7:3c:82,1055,192.168.213.110,473948,True
38:e1:f4:48:86:52,2078,192.168.212.43,473949,False
a2:0f:77:b8:e4:d9,1004,192.168.212.44,473950,True
18:0c:7a:8a:8a:0e,1023@B1,192.168.213.113,473951,False
38:e1:f4:48:85:9c,1064@L,192.168.213.103,473953,False
18:0c:7a:8a:89:ed,1058,192.168.213.140,473954,False
18:0c:7a:8a:7b:59,1023@L,192.168.213.102,473955,False
38:e1:f4:48:86:a4,2004@B1,192.168.212.83,473956,False
8c:9a:8f:d9:f4:1d,2042,192.168.212.229,473957,False
ea:b5:a8:8f:20:95,2049,192.168.213.214,473958,True
38:e1:f4:48:da:d9,2018@L,192.168.213.13,473959,False
f2:73:69:13:16:d0,2036,192.168.213.60,473960,True
38:e1:f4:49:84:af,2050@B1,192.168.213.23,473961,False
00:00:00:00:00:00,2015,192.168.213.82,473962,False
ea:fd:79:27:0c:2a,2072,192.168.213.94,473963,True
38:e1:f4:48:91:a7,1032@B2,192.168.213.130,473964,False
46:20:8c:06:c5:10,1034,192.168.213.216,473965,True
38:e1:f4:48:82:d0,2014,192.168.212.137,473966,False
18:0c:7a:8a:89:a2,1021@B2,192.168.213.1,473967,False
38:e1:f4:48:d8:24,1088@B1,192.168.213.203,473968,False
96:b5:7e:2c:d5:5c,1020,192.168.213.12,473969,True
38:e1:f4:48:82:c3,2030,192.168.212.92,473970,False
96:32:c0:cd:49:5a,1065,192.168.212.120,473971,True
38:e1:f4:48:86:dc,2001@B1,192.168.213.78,473972,False
38:e1:f4:48:8d:b0,1005@B1,192.168.213.95,473973,False
38:e1:f4:48:90:c1,2069,192.168.212.204,473974,False
3a:6d:f5:c7:3e:b4,1045,192.168.212.253,473975,True
38:e1:f4:48:db:b2,1073@B2,192.168.212.37,473976,False
8a:18:01:44:d0:2f,2046,192.168.212.58,473978,True
d6:5b:26:5e:62:79,2086,192.168.212.176,473979,True
d6:c3:ba:af:63:d4,2073,192.168.212.49,473980,True
8c:9a:8f:d9:eb:27,2034@B1,192.168.213.5,473981,False
c6:94:8a:42:18:1d,2042,192.168.213.221,473983,True
38:e1:f4:49:84:b8,2057,192.168.212.228,473984,False
8c:9a:8f:d9:ed:07,2038,192.168.212.252,473985,False
38:e1:f4:48:db:15,1083,192.168.212.241,473986,False
46:b5:1f:47:81:4a,1081,192.168.213.152,473987,True
8c:9a:8f:d9:ec:9e,2039,192.168.212.190,473988,False
5e:1a:88:a7:00:2d,2055,192.168.213.137,473989,True
38:e1:f4:48:db:94,1015,192.168.213.44,473991,False
38:e1:f4:48:79:2a,2059,192.168.212.53,473992,False
38:e1:f4:48:8d:d4,1004@L,192.168.213.99,473993,False
26:b5:82:fc:27:0e,1046,192.168.212.118,473996,True
e6:12:86:bc:49:d9,2084,192.168.212.185,473997,True
7e:cb:3c:6f:4c:9f,1044,192.168.212.91,473998,True
18:0c:7a:8a:86:18,1035@B1,192.168.212.183,473999,False
38:e1:f4:48:8c:0f,2084,192.168.212.203,474000,False
a6:2e:0b:d6:71:01,1068,192.168.213.239,474001,True
38:e1:f4:48:db:af,1073@B1,192.168.212.222,474003,False
18:0c:7a:8a:89:f0,1059,192.168.213.248,474004,False
32:84:e6:58:cb:1b,1033,192.168.213.59,474005,True
8c:9a:8f:d9:ec:33,1053@L,192.168.213.38,474006,False
d6:9a:80:03:bf:25,1054,192.168.213.105,474007,True
8c:9a:8f:d9:f5:be,1052,192.168.212.247,474008,False
ca:77:4d:2f:c0:7c,2034@L,192.168.213.228,474009,True
ee:84:e7:ab:60:73,2064,192.168.212.26,474010,True
4e:23:3d:20:06:e6,2085,192.168.213.205,474011,True
38:e1:f4:48:80:3b,2061,192.168.213.245,474012,False
4a:fd:d7:e5:96:59,1053 B2,192.168.213.199,474014,True
8c:9a:8f:d9:f1:04,2041,192.168.213.230,474015,False
8c:9a:8f:d9:ec:f5,1054@B2,192.168.213.98,474016,False
38:e1:f4:48:8d:7f,2067,192.168.212.202,474018,False
38:e1:f4:48:db:73,1019,192.168.213.132,474019,False
38:e1:f4:48:db:88,1014,192.168.213.42,474020,False
38:e1:f4:48:8d:ff,1006@L,192.168.213.100,474021,False
38:e1:f4:48:da:76,2018@B2,192.168.213.155,474022,False
